Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Environmental Specialist III,12 Paid,2724
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2725
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2726
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Life Insurance (LICPY),12 Paid,2727
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2728
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Environmental Specialist I (#2),12 Paid,2729
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Hospitalization (BCCPY),12 Paid,2730
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Office Assistant II,12 Paid,2731
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-10-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Blackberries/Communication (admin),12 Paid,2732
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,03-29-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Blackberries/Communication (admin),12 Paid,2733
Interim Nuisance Abatement/CNAP,00-028,ILTR-00054,04-16-2011,05-02-2011,05-16-2011,05-17-2011,05-19-2011,05-23-2011,05-23-2011,05-24-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-16-2011,OCD,Environmental Specialist I (#1)-A,12 Paid,2734
Napoleon/Broad and Fountainbleau Intersection Plan,00-001,ILTR-00139,04-12-2011,04-25-2011,04-25-2011,04-26-2011,04-28-2011,05-02-2011,05-03-2011,05-03-2011,05-04-2011,05-16-2011,05-27-2011,05-31-2011,06-02-2011,DPW,"Urban Systems, Inc.",12 Paid,2600
New Orleans East Regional Library,00-015,ILTR-00133,04-11-2011,04-11-2011,04-11-2011,04-19-2011,04-21-2011,04-21-2011,04-21-2011,04-25-2011,04-26-2011,04-28-2011,05-19-2011,05-20-2011,05-25-2011,CPA,Gibbs Construction,12 Paid,2590
New Orleans East Regional Library,00-016,ILTR-00133,05-03-2011,05-05-2011,05-05-2011,05-05-2011,05-17-2011,05-19-2011,05-20-2011,05-24-2011,05-24-2011,05-26-2011,06-13-2011,06-14-2011,06-15-2011,CPA,Gibbs Construction,12 Paid,2687
Norman Mayer Library,00-014,ILTR-00132,03-03-2011,03-04-2011,03-04-2011,03-14-2011,03-23-2011,03-23-2011,03-24-2011,04-06-2011,04-07-2011,04-28-2011,05-19-2011,05-20-2011,05-25-2011,CPA,Gibbs Construction,12 Paid,2429
VAMC Land Acquisition & Relocation - Public Facilities,00-352,ILTR-00122,04-06-2011,04-13-2011,04-12-2011,04-13-2011,04-20-2011,04-21-2011,04-21-2011,04-25-2011,04-25-2011,04-26-2011,05-11-2011,05-12-2011,05-16-2011,DPW,N.Y. Associates,12 Paid,2542
VAMC Land Acquisition & Relocation - Public Facilities,00-353,ILTR-00122,04-15-2011,04-21-2011,04-19-2011,04-21-2011,04-28-2011,05-02-2011,05-03-2011,05-03-2011,05-03-2011,05-04-2011,05-16-2011,05-17-2011,05-19-2011,DPW,"Wallace C. Drennan, Inc.",12 Paid,2594
VAMC Land Acquisition & Relocation - Public Facilities,00-358,ILTR-00122,05-04-2011,05-09-2011,05-09-2011,05-11-2011,05-13-2011,05-16-2011,05-16-2011,05-17-2011,05-17-2011,05-17-2011,05-27-2011,05-31-2011,06-02-2011,DPW,N.Y. Associates,12 Paid,2654
VAMC Land Acquisition & Relocation - Relocation,00-380,ILTR-00122,05-25-2011,05-25-2011,05-26-2011,05-31-2011,05-31-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-17-2011,06-20-2011,06-22-2011,OCD,2426 Cleveland Ave. (Deborah Brown-Cassine),12 Paid,2802
VAMC Land Acquisition & Relocation - Relocation,00-381,ILTR-00122,05-25-2011,05-25-2011,05-25-2011,05-31-2011,05-31-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-15-2011,06-16-2011,06-17-2011,OCD,2434 Cleveland Ave. (Joan Jacques),12 Paid,2803
VAMC Land Acquisition & Relocation - Clearance,00-384,ILTR-00122,04-13-2011,05-27-2011,05-27-2011,05-31-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-02-2011,06-15-2011,06-16-2011,06-17-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2805
VAMC Land Acquisition & Relocation - Clearance,00-383,ILTR-00122,12-31-2010,05-26-2011,05-26-2011,05-31-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-01-2011,06-02-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Builders of Hope ,12 Paid,2806
VAMC Land Acquisition & Relocation - Clearance,00-386,ILTR-00122,01-31-2011,05-31-2011,05-31-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Builders of Hope ,12 Paid,2810
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-13-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2827
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-14-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2828
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-22-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2829
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-28-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2830
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-29-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2831
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-01-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2832
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-07-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2833
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-22-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2834
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-26-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2835
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-04-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2836
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-05-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2837
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-07-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2839
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-09-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2840
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,01-24-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2841
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,02-01-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2842
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-21-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Brandon's Bee Removal Services LLC,12 Paid,2843
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-07-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2844
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-13-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2845
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-17-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2847
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-24-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2848
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-27-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2849
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-01-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2850
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-08-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2851
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-19-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2852
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-27-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2853
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-03-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2854
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-12-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2855
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-18-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2856
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-01-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2857
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-03-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2858
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-08-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2859
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,01-28-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2860
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-11-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Tree Medics,12 Paid,2838
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,09-15-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,Cox Communications,12 Paid,2846
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-02-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2861
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-09-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2862
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-09-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2863
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,01-12-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2864
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,04-14-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2865
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,03-04-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2866
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,04-14-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2867
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,04-14-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2868
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-30-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2869
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-11-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2870
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-11-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2871
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-06-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2872
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-06-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2873
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-14-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2874
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,10-14-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2875
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-06-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2876
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-06-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2877
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-06-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2878
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-12-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2879
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-12-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2880
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-12-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2881
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,11-30-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2882
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,12-09-2010,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2883
VAMC Land Acquisition & Relocation - Clearance,00-388,ILTR-00122,03-04-2011,06-01-2011,06-01-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-02-2011,06-03-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Tim Clark Construction, LLC",12 Paid,2884
VAMC Land Acquisition & Relocation - Clearance,00-392,ILTR-00122,03-25-2011,06-02-2011,06-02-2011,06-03-2011,06-06-2011,06-07-2011,06-07-2011,06-07-2011,06-07-2011,06-08-2011,06-17-2011,06-20-2011,06-22-2011,OCD,"Durr Heavy Construction, LLC (Demolition Package D)",12 Paid,2823
VAMC Land Acquisition & Relocation - Public Facilities,00-368,ILTR-00122,05-09-2011,05-16-2011,05-16-2011,05-18-2011,05-23-2011,05-25-2011,05-25-2011,05-25-2011,05-25-2011,05-26-2011,06-13-2011,06-14-2011,06-15-2011,DPW,"Wallace C. Drennan, Inc.",12 Paid,2684
Program Administrative Costs,00-029,ILTR-00046,01-29-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Blackberries/Communication (admin),12 Paid,2447
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,2446
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Life Insurance (LICPY),12 Paid,2449
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Public Notices,12 Paid,2451
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Unemployment Insurance (UCCPY),12 Paid,2452
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Workmen's Compensation (WCCPY),12 Paid,2453
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Miscellaneous,12 Paid,2454
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Accountant I (#1),12 Paid,2455
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Accountant I (#2),12 Paid,2456
Program Administrative Costs,00-029,ILTR-00046,02-19-2011,03-01-2011,03-01-2011,03-24-2011,03-25-2011,03-29-2011,03-30-2011,03-31-2011,04-06-2011,04-07-2011,06-23-2011,06-24-2011,06-24-2011,OCD,Administrative Assistant,12 Paid,2457
