Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Jack B. Harper Contractor,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,05-31-2016,06-02-2016,06-02-2016,06-24-2016,06-27-2016,06-27-2016,07-11-2016,07-11-2016,20089,"$51,190.35"
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-28-2015,05-31-2016,06-02-2016,06-03-2016,06-08-2016,06-08-2016,06-08-2016,06-21-2016,06-21-2016,20093,"$13,580.93"
Vienna (Corinne - Nighthart),"AECOM USA, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-13-2016,05-24-2016,06-01-2016,06-01-2016,06-08-2016,06-08-2016,06-08-2016,06-09-2016,06-09-2016,20077,"$2,173"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-14-2016,05-20-2016,06-01-2016,06-02-2016,06-14-2016,06-14-2016,06-14-2016,06-21-2016,06-21-2016,20094,"$27,778.5"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2015,05-25-2016,05-31-2016,05-31-2016,09-01-2016,09-01-2016,09-01-2016,09-02-2016,09-02-2016,20018,"$3,374.25"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-01-2015,05-24-2016,05-28-2016,05-31-2016,06-07-2016,06-09-2016,06-09-2016,06-16-2016,06-16-2016,20017,"$48,570.04"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2015,05-25-2016,05-28-2016,05-31-2016,09-01-2016,09-01-2016,09-01-2016,09-02-2016,09-02-2016,20019,"$36,033.27"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2015,05-25-2016,05-28-2016,05-31-2016,08-31-2016,08-31-2016,08-31-2016,09-02-2016,09-02-2016,20074,"$83,234.89"
N. Galvez St (Tennessee St  - Delery St),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-30-2016,05-27-2016,05-27-2016,05-27-2016,06-02-2016,06-09-2016,06-09-2016,06-15-2016,06-15-2016,20070,"$1,228,200.3"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-22-2016,05-19-2016,05-24-2016,05-24-2016,06-16-2016,06-17-2016,06-17-2016,06-23-2016,06-23-2016,20057,"$30,117.5"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-09-2016,05-17-2016,05-23-2016,05-24-2016,06-15-2016,06-17-2016,06-17-2016,06-23-2016,06-23-2016,20045,$741.69
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-07-2016,05-17-2016,05-23-2016,05-24-2016,05-26-2016,06-01-2016,06-01-2016,06-09-2016,06-09-2016,20047,"$1,800.3"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-09-2016,05-20-2016,05-23-2016,05-24-2016,06-06-2016,06-06-2016,06-06-2016,06-15-2016,06-15-2016,20050,"$44,879.04"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-28-2016,05-20-2016,05-23-2016,05-25-2016,06-06-2016,06-06-2016,06-06-2016,06-15-2016,06-15-2016,20051,"$18,127.8"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-26-2016,05-20-2016,05-23-2016,05-24-2016,06-06-2016,06-06-2016,06-06-2016,06-15-2016,06-15-2016,20052,"$54,228.84"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-08-2016,05-20-2016,05-23-2016,05-24-2016,06-06-2016,06-06-2016,06-06-2016,06-15-2016,06-15-2016,20053,"$10,211.79"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-03-2015,05-23-2016,05-23-2016,05-31-2016,06-23-2016,06-24-2016,06-24-2016,06-30-2016,06-30-2016,20064,"$49,125.3"
DPW Pavement Assessment,Stantec Consulting Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-29-2016,05-19-2016,05-20-2016,05-20-2016,05-24-2016,05-27-2016,05-27-2016,06-09-2016,06-09-2016,20023,"$50,002.5"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-08-2016,05-12-2016,05-20-2016,05-25-2016,05-31-2016,06-29-2016,06-29-2016,07-01-2016,07-01-2016,20029,"$45,000"
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,05-12-2016,05-20-2016,05-23-2016,06-02-2016,06-03-2016,06-03-2016,06-17-2016,06-17-2016,20030,"$672,393.61"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,05-19-2016,05-19-2016,05-20-2016,05-25-2016,05-25-2016,05-25-2016,06-03-2016,06-03-2016,19799,"$77,682.17"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2015,05-13-2016,05-19-2016,05-20-2016,09-09-2016,09-12-2016,09-12-2016,09-21-2016,09-21-2016,20010,"$3,074.79"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2015,05-13-2016,05-19-2016,05-20-2016,09-07-2016,09-07-2016,09-07-2016,10-11-2016,10-11-2016,20011,"$16,241.5"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2015,05-13-2016,05-19-2016,05-20-2016,09-27-2016,09-28-2016,09-28-2016,10-11-2016,10-11-2016,20012,"$1,640.8"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2015,05-13-2016,05-19-2016,05-20-2016,09-26-2016,09-28-2016,09-28-2016,10-11-2016,10-11-2016,20013,$612.87
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,05-09-2016,05-18-2016,05-18-2016,06-24-2016,06-27-2016,06-27-2016,06-30-2016,06-30-2016,20001,"$326,445.29"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-26-2016,05-03-2016,05-17-2016,05-17-2016,05-25-2016,05-25-2016,05-25-2016,06-03-2016,06-03-2016,19988,"$29,919.36"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-25-2016,05-15-2016,05-16-2016,05-17-2016,06-02-2016,06-03-2016,06-03-2016,06-09-2016,06-09-2016,19989,"$242,495.11"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2015,05-11-2016,05-11-2016,05-11-2016,05-27-2016,05-27-2016,05-27-2016,06-03-2016,06-03-2016,18695,"$2,912.84"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-20-2015,05-06-2016,05-11-2016,06-10-2016,06-20-2016,06-21-2016,06-21-2016,06-22-2016,06-22-2016,18987,"$42,164.32"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-25-2015,05-06-2016,05-11-2016,06-10-2016,06-21-2016,06-21-2016,06-21-2016,06-22-2016,06-22-2016,19144,"$44,905.61"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-22-2016,05-06-2016,05-11-2016,06-10-2016,07-01-2016,07-01-2016,07-01-2016,07-06-2016,07-06-2016,19278,"$23,645.86"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,04-11-2016,05-11-2016,05-11-2016,05-27-2016,05-31-2016,05-31-2016,06-03-2016,06-03-2016,19376,"$2,912.84"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-19-2016,05-06-2016,05-11-2016,06-10-2016,07-01-2016,07-01-2016,07-01-2016,07-06-2016,07-06-2016,19397,"$25,826.51"
Vienna (Corinne - Nighthart),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,04-27-2016,05-11-2016,05-12-2016,05-18-2016,05-19-2016,05-19-2016,05-26-2016,05-26-2016,19959,"$36,661.25"
Jackson Ave (Claiborne Ave - Galvez St),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,05-03-2016,05-10-2016,05-10-2016,05-26-2016,05-26-2016,05-26-2016,06-29-2016,06-29-2016,19944,"$147,950.62"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-25-2016,04-29-2016,05-06-2016,05-09-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19924,"$7,737.42"
Jackson Ave (Claiborne Ave - Galvez St),Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-05-2016,05-05-2016,05-06-2016,05-10-2016,05-13-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19926,"$11,135.3"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"C.B. & I. (aka Shaw Environmental, Inc.)",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,05-03-2016,05-05-2016,05-05-2016,05-11-2016,06-10-2016,06-10-2016,06-21-2016,06-21-2016,19909,"$53,046"
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,05-02-2016,05-05-2016,05-06-2016,05-13-2016,05-19-2016,05-19-2016,05-25-2016,05-25-2016,19910,"$15,196.17"
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,04-30-2016,05-05-2016,05-05-2016,05-10-2016,05-10-2016,05-10-2016,04-19-2016,04-19-2016,19911,"$18,107.92"
N. Galvez St (Tennessee St  - Delery St),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-26-2016,04-25-2016,05-05-2016,05-05-2016,05-11-2016,05-12-2016,05-12-2016,06-01-2016,06-01-2016,19914,"$6,070.45"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-15-2016,04-28-2016,05-05-2016,05-05-2016,05-11-2016,05-12-2016,05-12-2016,06-01-2016,06-01-2016,19915,"$3,078.1"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-19-2016,04-29-2016,05-04-2016,05-04-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19882,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-17-2016,04-29-2016,05-04-2016,05-04-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19883,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-24-2016,04-29-2016,05-04-2016,05-04-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19884,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-18-2016,04-29-2016,05-04-2016,05-05-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19885,"$1,297.83"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-06-2016,04-29-2016,05-04-2016,05-05-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19886,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-19-2016,04-29-2016,05-04-2016,05-05-2016,05-17-2016,05-17-2016,05-17-2016,06-03-2016,06-03-2016,19887,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-07-2016,04-29-2016,05-04-2016,05-05-2016,05-18-2016,05-18-2016,05-18-2016,06-03-2016,06-03-2016,19888,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-04-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19889,"$2,730.36"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-16-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19890,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-18-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19891,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-05-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19892,$682.59
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-01-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19893,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-21-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19894,"$2,025.2"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-16-2016,04-29-2016,05-04-2016,05-05-2016,05-19-2016,05-19-2016,05-19-2016,06-03-2016,06-03-2016,19895,"$20,544.84"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,05-03-2016,05-04-2016,05-05-2016,05-10-2016,05-11-2016,05-11-2016,05-24-2016,05-24-2016,19905,"$17,672.2"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,04-26-2016,05-04-2016,05-05-2016,05-13-2016,05-20-2016,05-20-2016,06-03-2016,06-03-2016,19906,"$233,709.16"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-12-2014,04-11-2016,05-03-2016,05-10-2016,06-09-2016,06-10-2016,06-10-2016,06-22-2016,06-22-2016,19874,"$14,913.75"
Recovery Program - Iberville/ Tulane Gravier - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-29-2016,04-29-2016,05-03-2016,05-03-2016,05-23-2016,06-03-2016,06-03-2016,06-01-2016,06-01-2016,19875,"$1,172.74"
Recovery Program - Lower Garden District/CBD - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-29-2016,04-29-2016,05-03-2016,05-03-2016,05-23-2016,05-25-2016,05-25-2016,06-01-2016,06-01-2016,19876,$975
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)",Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-11-2016,04-11-2016,05-03-2016,05-03-2016,05-04-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19877,"$1,654"
Gravier St (Galvez - Broad),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-16-2016,04-26-2016,05-03-2016,05-05-2016,05-10-2016,05-10-2016,05-10-2016,05-17-2016,05-17-2016,19896,$352.75
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,04-20-2016,05-02-2016,05-02-2016,05-04-2016,05-06-2016,05-06-2016,05-12-2016,05-12-2016,19833,"$352,121.47"
N. Galvez St (Tennessee St  - Delery St),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,04-01-2016,04-28-2016,05-02-2016,05-10-2016,05-10-2016,05-10-2016,05-11-2016,05-11-2016,19824,"$483,111.29"
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-02-2016,04-29-2016,04-27-2016,04-27-2016,04-29-2016,04-29-2016,04-29-2016,05-06-2016,05-06-2016,19683,"$11,399.94"
Gardena Dr (St. Bernard Ave - Paris Ave.),"Arcadis U.S., Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,04-22-2016,04-25-2016,04-25-2016,05-11-2016,05-12-2016,05-12-2016,05-23-2016,05-23-2016,19794,"$55,833.4"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2016,04-22-2016,04-25-2016,04-28-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19796,"$15,699.57"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-01-2016,04-22-2016,04-25-2016,04-28-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19797,$682.59
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-26-2016,04-22-2016,04-25-2016,04-28-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,05-06-2016,19798,$865.22
Franklin Ave. at Leon C. Simon Drainage Improvements,Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-21-2016,04-21-2016,04-25-2016,04-25-2016,04-29-2016,05-02-2016,05-02-2016,05-06-2016,05-06-2016,19801,"$165,235"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-07-2015,04-21-2016,04-22-2016,04-22-2016,04-28-2016,04-28-2016,04-28-2016,05-06-2016,05-06-2016,19558,"$91,434.2"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),"APS Design & Testing, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-14-2016,04-14-2016,04-22-2016,04-25-2016,04-27-2016,04-29-2016,04-29-2016,05-06-2016,05-06-2016,19777,"$8,946"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-02-2016,04-18-2016,04-22-2016,04-22-2016,04-27-2016,04-28-2016,04-28-2016,05-06-2016,05-06-2016,19782,"$5,087.86"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-26-2016,04-18-2016,04-22-2016,04-27-2016,05-04-2016,05-05-2016,05-05-2016,05-12-2016,05-12-2016,19783,$808.76
Behrman Highway Multi-Use Path Connections,Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-21-2016,04-21-2016,04-22-2016,04-25-2016,05-02-2016,05-03-2016,05-03-2016,05-06-2016,05-06-2016,19792,"$85,407.5"
Recovery Program - St. Roch - SWB,"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2015,04-13-2016,04-21-2016,05-18-2016,06-23-2016,06-24-2016,06-24-2016,06-30-2016,06-30-2016,17942,"$17,430.61"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-09-2016,04-18-2016,04-19-2016,04-20-2016,04-20-2016,04-22-2016,04-22-2016,04-28-2016,04-28-2016,19756,"$17,576.75"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-08-2016,04-08-2016,04-18-2016,04-19-2016,04-28-2016,04-29-2016,04-29-2016,05-06-2016,05-06-2016,19747,"$96,809.62"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-12-2016,04-04-2016,04-18-2016,04-21-2016,05-03-2016,05-03-2016,05-03-2016,05-06-2016,05-06-2016,19748,"$54,161.94"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-11-2016,04-04-2016,04-18-2016,04-21-2016,05-02-2016,05-02-2016,05-02-2016,05-06-2016,05-06-2016,19749,"$16,919.28"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-06-2016,04-04-2016,04-18-2016,04-21-2016,05-02-2016,05-02-2016,05-02-2016,05-06-2016,05-06-2016,19750,"$68,253.54"
Wisner Shared Use Path Extension (Esplanade - De Saix),Meyer Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-17-2016,03-17-2016,04-15-2016,04-22-2016,04-27-2016,04-29-2016,04-29-2016,05-06-2016,05-06-2016,19728,"$3,921.85"
Citywide Sign Replacement,Custom Products Corp,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-01-2016,04-14-2016,04-15-2016,04-18-2016,04-19-2016,04-20-2016,04-20-2016,05-06-2016,05-06-2016,19729,$689.8
Jackson Ave (Claiborne Ave - Galvez St),Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-11-2016,04-14-2016,04-15-2016,04-18-2016,04-22-2016,04-25-2016,04-25-2016,04-28-2016,04-28-2016,19730,"$2,197.45"
