Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Property Management Capital Fund Requests,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-12-2016,03-17-2016,03-17-2016,03-17-2016,03-17-2016,03-17-2016,03-17-2016,03-31-2016,03-31-2016,19515,"$16,412.65"
Nora Navra Library,Manning Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-28-2016,03-17-2016,03-21-2016,03-21-2016,03-22-2016,03-22-2016,03-31-2016,03-31-2016,19542,"$8,675.29"
Sanchez (Copelin-Byrd) Center,"Gibbs Construction, Co.",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-17-2016,03-28-2016,04-04-2016,04-07-2016,04-07-2016,04-13-2016,04-13-2016,19543,"$118,224.6"
NOFD Engine 31 Alba Rd.,Devier Design Build,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-07-2016,03-07-2016,03-17-2016,03-18-2016,03-31-2016,04-05-2016,04-05-2016,04-14-2016,04-14-2016,19545,"$255,649.99"
Rosenwald Center Phase II - Pool & Poolhouse,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-17-2016,03-24-2016,03-24-2016,03-28-2016,03-28-2016,04-01-2016,04-01-2016,19546,$858.75
Property Management Capital Fund Requests,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-27-2016,01-27-2016,03-16-2016,03-16-2016,03-16-2016,03-16-2016,03-16-2016,03-24-2016,03-24-2016,19509,"$4,149.26"
Property Management Capital Fund Requests,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-03-2016,03-16-2016,03-16-2016,03-16-2016,03-16-2016,03-16-2016,03-16-2016,03-24-2016,03-24-2016,19510,"$13,883.43"
A.L. Davis Playground Repairs,BFM Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,12-31-2015,03-16-2016,03-16-2016,03-16-2016,03-17-2016,03-17-2016,03-24-2016,03-24-2016,19536,"$16,620"
Youth Study Center/New Orleans Juvenile Justice Complex FFE,Associated Office Systems,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-08-2016,03-16-2016,03-16-2016,03-16-2016,03-17-2016,03-17-2016,04-01-2016,04-01-2016,19537,"$32,544.79"
Youth Study Center/New Orleans Juvenile Justice Complex FFE,Associated Office Systems,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-08-2016,03-16-2016,03-16-2016,03-17-2016,03-18-2016,03-18-2016,03-31-2016,03-31-2016,19538,"$23,872.5"
DPW Multi-Purpose Site,Big Yellow Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-08-2016,03-14-2016,03-29-2016,03-30-2016,03-31-2016,03-31-2016,04-07-2016,04-07-2016,19524,"$1,507.96"
Parks & Parkways Citywide Improvements,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-08-2016,03-14-2016,03-14-2016,03-16-2016,03-17-2016,03-17-2016,03-31-2016,03-31-2016,19525,"$10,851.19"
West Bank Soccer Complex (Brechtel Park),H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-08-2016,03-08-2016,03-14-2016,03-14-2016,03-16-2016,03-17-2016,03-17-2016,03-24-2016,03-24-2016,19526,"$10,547.84"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-14-2016,03-15-2016,03-16-2016,03-17-2016,03-17-2016,03-24-2016,03-24-2016,19531,"$14,133"
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,03-11-2016,03-11-2016,03-11-2016,03-11-2016,03-11-2016,03-11-2016,03-22-2016,03-22-2016,19511,$686.63
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,03-11-2016,03-11-2016,03-11-2016,04-01-2016,04-01-2016,04-01-2016,04-05-2016,04-05-2016,19512,$330.9
Rosenwald Center Phase II - Pool & Poolhouse,CDW Services,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,03-10-2016,03-11-2016,03-11-2016,03-15-2016,04-13-2016,04-13-2016,04-18-2016,04-18-2016,19518,"$177,871.68"
City Council Chamber Electrical and Lighting,"Marrero, Couvillon & Associates, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-11-2016,03-11-2016,03-14-2016,03-16-2016,03-16-2016,03-24-2016,03-24-2016,19519,"$1,751.65"
Joe W. Brown Park CDBG Enhancements (West Side),Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-11-2016,03-14-2016,03-15-2016,03-16-2016,03-16-2016,03-24-2016,03-24-2016,19520,$376.04
Joe W. Brown Park CDBG Enhancements (West Side),Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-11-2016,03-14-2016,03-15-2016,03-16-2016,03-16-2016,03-24-2016,03-24-2016,19521,$876.44
Cemeteries Phase II - Lafayette #1 & 2 Cottages,MST Enterprises LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,02-25-2016,03-11-2016,03-16-2016,03-21-2016,03-22-2016,03-22-2016,03-04-2016,03-24-2016,19522,"$6,707.93"
Property Management Capital Fund Requests,Schindler Elevator Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-02-2016,03-10-2016,03-10-2016,03-10-2016,03-10-2016,03-10-2016,03-10-2016,03-17-2016,03-17-2016,19465,$863.22
Wesley Barrow Softball Backstop Fencing,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-09-2016,03-09-2016,03-10-2016,03-11-2016,03-11-2016,03-29-2016,03-29-2016,19489,"$28,368.18"
Criminal District Court - Structural Wind Retro-Fit,Yeates and Yeates Architects,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-06-2015,03-08-2016,03-09-2016,03-10-2016,03-11-2016,03-14-2016,03-14-2016,03-22-2016,03-22-2016,19490,"$22,000"
NOFD Roof Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,12-31-2015,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19448,$87.86
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19449,$886.54
Property Management Capital Fund Requests,Schindler Elevator Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-04-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19450,"$11,198.1"
Property Management Capital Fund Requests,Schindler Elevator Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-03-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19451,"$9,458.83"
Property Management Capital Fund Requests,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-05-2016,03-08-2016,03-08-2016,03-08-2016,03-17-2016,03-17-2016,03-17-2016,03-31-2016,03-31-2016,19452,"$4,680.31"
Property Management Capital Fund Requests,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19453,"$37,449.76"
Cabrini Playground,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-19-2015,06-19-2015,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19470,"$1,199.9"
Cabrini Playground,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-19-2015,06-19-2015,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-16-2016,03-16-2016,19471,"$1,291.09"
Wesley Barrow Softball Backstop Fencing,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-22-2015,12-22-2015,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-17-2016,03-17-2016,19472,$553.18
NOPD Fifth District Police Station FFE,Associated Office Systems,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,12-31-2015,03-08-2016,03-08-2016,03-09-2016,03-30-2016,03-30-2016,04-07-2016,04-07-2016,19473,"$2,745.04"
Stallings Gentilly Fencing & Sidewalks,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-02-2016,02-02-2016,03-08-2016,03-08-2016,03-16-2016,03-17-2016,03-17-2016,03-24-2016,03-24-2016,19475,"$11,244.54"
Main Public Library Repairs,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-24-2016,02-24-2016,03-07-2016,03-08-2016,03-09-2016,03-09-2016,03-09-2016,03-17-2016,03-17-2016,19468,"$2,652.5"
Youth Study Center/New Orleans Juvenile Justice Complex FFE,The HON Company c/o AOS,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-01-2016,03-01-2016,03-07-2016,03-14-2016,03-14-2016,03-15-2016,03-15-2016,03-23-2016,03-23-2016,19469,"$63,921.8"
NOPD Fifth District Police Station FFE,The HON Company c/o AOS,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-03-2016,03-03-2016,03-04-2016,03-08-2016,03-09-2016,03-30-2016,03-30-2016,04-07-2016,04-07-2016,18758,"$26,446.68"
NOPD Fifth District Police Station FFE,The HON Company c/o AOS,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-03-2016,03-03-2016,03-04-2016,03-08-2016,03-17-2016,03-30-2016,03-30-2016,04-07-2016,04-07-2016,19394,$491.25
NOPD Fifth District Police Station FFE,The HON Company c/o AOS,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-03-2016,03-03-2016,03-04-2016,03-08-2016,03-17-2016,03-30-2016,03-30-2016,04-07-2016,04-07-2016,19395,"$58,183.45"
NOPD Fifth District Police Station FFE,The HON Company c/o AOS,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-03-2016,03-03-2016,03-04-2016,03-08-2016,03-17-2016,03-30-2016,03-30-2016,04-07-2016,04-07-2016,19396,"$54,630.91"
Latter Library Renovations Phase II,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-01-2016,03-01-2016,03-03-2016,03-07-2016,03-07-2016,03-07-2016,03-07-2016,03-21-2016,03-21-2016,19439,"$3,895.93"
City Property Sales,Gayle Boudousquie & Associates,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,02-25-2016,03-02-2016,03-02-2016,03-04-2016,03-04-2016,03-04-2016,03-16-2016,03-16-2016,19435,"$4,500"
Sanitation Department Services,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-22-2016,02-26-2016,03-01-2016,02-26-2016,03-02-2016,03-02-2016,03-02-2016,03-15-2016,03-15-2016,19425,"$4,598.4"
Criminal District Court - Structural Wind Retro-Fit,Yeates and Yeates Architects,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-24-2016,02-24-2016,03-01-2016,03-08-2016,03-11-2016,03-14-2016,03-14-2016,03-22-2016,03-22-2016,19427,"$3,385.52"
NOPD Third District Police Station,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-01-2016,03-01-2016,03-01-2016,03-02-2016,03-03-2016,03-03-2016,03-03-2016,03-15-2016,03-15-2016,19428,"$3,093.7"
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-01-2016,03-02-2016,03-03-2016,03-03-2016,03-03-2016,03-15-2016,03-15-2016,19429,"$2,228.43"
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-29-2016,02-29-2016,03-01-2016,03-08-2016,03-09-2016,03-09-2016,03-09-2016,03-17-2016,03-17-2016,19430,"$1,600"
Sanitation Department Services,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-22-2016,02-26-2016,03-01-2016,02-26-2016,03-02-2016,03-02-2016,03-02-2016,03-15-2016,03-15-2016,19432,"$5,468.35"
NOPD Training Academy,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-01-2016,03-01-2016,03-01-2016,03-02-2016,03-03-2016,03-03-2016,03-03-2016,03-15-2016,03-15-2016,20846,"$2,154.53"
Hunter's Field Phase III - New Building Addition,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-25-2016,02-26-2016,02-29-2016,02-29-2016,03-24-2016,03-28-2016,03-28-2016,04-01-2016,04-01-2016,19405,"$5,456.71"
Cita Hubbell Library Interior Repairs & Landscaping,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-08-2015,10-08-2015,02-29-2016,02-29-2016,02-29-2016,02-29-2016,02-29-2016,03-08-2016,03-08-2016,19409,$199.83
Parks & Parkways Phase IV - Greenhouse,"Materials Management Group, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-18-2015,10-13-2015,02-26-2016,03-02-2016,03-03-2016,03-03-2016,03-03-2016,03-15-2016,03-15-2016,19399,"$1,189"
Cita Hubbell Library Interior Repairs & Landscaping,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-21-2015,10-21-2015,02-26-2016,02-26-2016,02-26-2016,02-26-2016,02-26-2016,03-09-2016,03-09-2016,19401,"$10,247.46"
Rosenwald Center Phase II - Pool & Poolhouse,Eustis Engineering,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,02-22-2016,02-26-2016,03-02-2016,03-03-2016,03-03-2016,03-03-2016,03-15-2016,03-15-2016,19404,$495
St. James Playground Katrina Repairs & Improvements,"Crescent Commercial Construction, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-24-2016,02-24-2016,02-25-2016,02-26-2016,03-01-2016,03-02-2016,03-02-2016,03-15-2016,03-15-2016,19392,"$30,726"
Youth Study Center/New Orleans Juvenile Justice Complex FFE,The HON Company c/o AOS,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-18-2016,02-18-2016,02-25-2016,03-14-2016,03-15-2016,03-16-2016,03-16-2016,03-23-2016,03-23-2016,19393,"$57,509.58"
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,12-31-2015,02-19-2016,02-19-2016,02-22-2016,02-22-2016,02-22-2016,02-26-2016,02-26-2016,19349,$371.78
Cemeteries Phase II - Lafayette #1 & 2 Cottages,"HMS Architects, APC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-15-2016,02-19-2016,02-19-2016,02-24-2016,02-24-2016,02-24-2016,02-24-2016,03-04-2016,03-04-2016,19369,$467
Rosenwald Center Phase II - Pool & Poolhouse,CDW Services,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,01-31-2016,02-18-2016,02-23-2016,02-25-2016,03-07-2016,03-07-2016,03-15-2016,03-15-2016,19365,"$143,115.41"
Property Management Capital Fund Requests,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19343,"$37,920.84"
Property Management Capital Fund Requests,Schindler Elevator Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-29-2015,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19347,"$1,369.33"
Property Management Capital Fund Requests,Schindler Elevator Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-25-2016,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19348,"$18,561.93"
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19350,$739.46
Property Management Capital Fund Requests,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2015,12-31-2015,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19351,"$19,065.5"
Property Management Capital Fund Requests,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-27-2016,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19352,"$21,249.44"
Property Management Capital Fund Requests,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-27-2016,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19353,"$42,526.81"
Property Management Capital Fund Requests,H & O Investments LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-27-2016,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-19-2016,02-19-2016,02-26-2016,02-26-2016,19354,"$14,870.14"
New Orleans Coroner's Complex,"Rhodes United Fidelity Funeral Home, Inc.",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,10-21-2015,02-17-2016,02-17-2016,02-17-2016,02-18-2016,02-18-2016,02-24-2016,02-24-2016,19359,"$58,810"
Criminal Evidence & Processing Complex,Big Yellow Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-17-2016,02-17-2016,02-17-2016,02-17-2016,03-03-2016,03-03-2016,03-03-2016,03-15-2016,03-15-2016,19360,"$28,585.65"
Nora Navra Library,Manning Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,02-10-2016,02-16-2016,02-24-2016,02-24-2016,02-24-2016,02-24-2016,03-04-2016,03-04-2016,19357,"$6,940.23"
Youth Study Center/New Orleans Juvenile Justice Complex FFE,"Aurora Storage Products, Inc.",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-29-2016,01-29-2016,02-10-2016,03-03-2016,03-07-2016,03-07-2016,03-07-2016,03-16-2016,03-16-2016,19321,"$70,574.28"
Children's Resource Center - HVAC,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,01-31-2016,02-10-2016,02-12-2016,02-12-2016,02-12-2016,02-12-2016,02-22-2016,02-22-2016,19322,$453.93
Criminal Evidence & Processing Complex,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,01-31-2016,02-10-2016,02-22-2016,03-04-2016,03-04-2016,03-04-2016,03-16-2016,03-16-2016,19323,"$1,008.14"
Rosenwald Center Phase II - Pool & Poolhouse,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,01-31-2016,02-10-2016,02-22-2016,02-25-2016,02-25-2016,02-25-2016,03-04-2016,03-04-2016,19324,$974.75
Rosenwald Center Phase II - Pool & Poolhouse,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,01-31-2016,02-10-2016,02-25-2016,02-25-2016,02-25-2016,02-25-2016,03-09-2016,03-09-2016,19325,"$2,403.39"
Brechtel Park - Lagoon Restoration,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-02-2016,02-02-2016,02-10-2016,02-11-2016,02-11-2016,02-11-2016,02-11-2016,02-22-2016,02-22-2016,19326,"$8,287.71"
St. Bernard Center Locker Room Renovations,Huda LLC,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-01-2016,02-01-2016,02-04-2016,02-11-2016,03-21-2016,03-23-2016,03-23-2016,03-31-2016,03-31-2016,19304,"$29,867.27"
NOPD Second District Police Station,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-01-2016,02-01-2016,02-03-2016,02-15-2016,02-15-2016,02-15-2016,02-15-2016,02-22-2016,02-22-2016,19306,"$8,405"
Latter Library Renovations Phase II,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-01-2016,02-01-2016,02-03-2016,02-12-2016,02-12-2016,02-12-2016,02-12-2016,02-22-2016,02-22-2016,19308,"$5,137.99"
Milne Boys Home Phase III - Gymnasium,"Crescent Commercial Construction, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-27-2016,01-27-2016,02-02-2016,02-04-2016,03-17-2016,03-18-2016,03-18-2016,03-31-2016,03-31-2016,19274,"$80,914.93"
NOPD Third District Police Station,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-29-2016,01-29-2016,02-02-2016,02-03-2016,02-03-2016,02-03-2016,02-03-2016,02-22-2016,02-22-2016,19275,"$24,749.53"
New Orleans Mosquito and Termite Control Board Monthly Services,Dow AgroSciences LLC,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-01-2016,02-01-2016,02-02-2016,02-02-2016,02-04-2016,02-05-2016,02-05-2016,02-22-2016,02-22-2016,19277,$947.28
NOPD Training Academy,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-29-2016,01-29-2016,02-02-2016,02-03-2016,02-03-2016,02-03-2016,02-03-2016,02-22-2016,02-22-2016,20845,"$25,854.41"
Rosenwald Center Phase II - Pool & Poolhouse,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-30-2016,01-30-2016,02-01-2016,02-12-2016,03-02-2016,03-02-2016,03-02-2016,03-15-2016,03-15-2016,19258,"$7,832.25"
Eastshore Playground Improvements,Chase Marshall Architects APAC,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-22-2016,01-22-2016,01-27-2016,01-27-2016,01-28-2016,01-28-2016,01-28-2016,02-08-2016,02-08-2016,19236,"$7,740.49"
Cemeteries Phase II - Lafayette #1 & 2 Cottages,MST Enterprises LLC,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-20-2016,01-20-2016,01-27-2016,01-29-2016,02-02-2016,02-03-2016,02-03-2016,02-05-2016,02-05-2016,19237,"$21,068.1"
DPW Multi-Purpose Site,"VergesRome Architects, APAC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-19-2016,01-19-2016,01-27-2016,01-29-2016,01-29-2016,01-29-2016,01-29-2016,02-15-2016,02-15-2016,19239,"$30,337"
DPW Multi-Purpose Site,"VergesRome Architects, APAC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-19-2016,01-19-2016,01-27-2016,01-28-2016,01-29-2016,01-29-2016,01-29-2016,02-16-2016,02-16-2016,19240,"$64,164.85"
