Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-06-2015,11-06-2015,11-19-2015,12-18-2015,01-05-2016,03-01-2016,03-01-2016,03-08-2016,18953,"$34,781.17"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,11-16-2015,11-18-2015,11-18-2015,12-07-2015,03-16-2016,03-16-2016,03-17-2016,18838,$734.04
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,11-16-2015,11-18-2015,11-18-2015,12-03-2015,12-04-2015,12-04-2015,12-09-2015,18839,"$9,891.93"
Recovery Program - Filmore Quadrant 2,"Volkert, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-23-2015,10-30-2015,11-16-2015,12-09-2015,03-02-2016,03-03-2016,03-03-2016,03-15-2016,18821,"$34,413.36"
"Recovery Program - BW Cooper, Dixon, Gert Town","CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2015,11-12-2015,11-13-2015,11-13-2015,02-26-2016,02-29-2016,02-29-2016,03-03-2016,18805,"$55,195.16"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,10-30-2015,11-10-2015,11-10-2015,11-24-2015,02-02-2016,02-02-2016,02-02-2016,18747,"$66,398.22"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,10-30-2015,11-10-2015,11-10-2015,11-20-2015,12-04-2015,12-04-2015,12-04-2015,18749,"$26,560.32"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,10-30-2015,11-10-2015,11-10-2015,11-19-2015,12-04-2015,12-04-2015,12-04-2015,18751,"$63,940.73"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,10-30-2015,11-10-2015,11-10-2015,11-20-2015,12-04-2015,12-04-2015,12-04-2015,18752,"$3,127.29"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2015,11-02-2015,11-06-2015,11-09-2015,11-19-2015,11-27-2015,11-27-2015,12-09-2015,18728,"$3,394.21"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,10-08-2015,11-05-2015,11-05-2015,11-24-2015,01-19-2016,01-19-2016,01-25-2016,18701,"$139,456.83"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-20-2015,10-27-2015,11-05-2015,11-05-2015,11-13-2015,11-18-2015,11-18-2015,12-09-2015,18703,$955.7
Recovery Program - Venetian Isles,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,10-29-2015,11-05-2015,11-09-2015,11-18-2015,02-02-2016,02-02-2016,02-02-2016,18718,"$2,174.75"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-28-2015,10-29-2015,11-05-2015,11-06-2015,11-16-2015,12-04-2015,12-04-2015,12-10-2015,18722,"$9,635"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,10-20-2015,11-04-2015,11-04-2015,12-01-2015,02-02-2016,02-02-2016,02-02-2016,18686,"$20,489.22"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,10-20-2015,11-04-2015,11-04-2015,11-17-2015,12-04-2015,12-04-2015,12-04-2015,18687,"$121,461.63"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-20-2015,10-27-2015,11-04-2015,11-04-2015,11-12-2015,02-02-2016,02-02-2016,02-02-2016,18696,"$851,356.37"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-20-2015,10-27-2015,11-04-2015,11-05-2015,11-17-2015,11-18-2015,11-18-2015,12-09-2015,18697,"$51,606.75"
Municipal Yacht Harbor Fishing Pier and Public Restrooms + Site Improvements,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-26-2015,10-26-2015,11-04-2015,11-06-2015,11-13-2015,01-06-2016,01-06-2016,01-06-2016,18699,"$120,009.2"
Recovery Program - Venetian Isles,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,10-29-2015,11-04-2015,11-09-2015,11-18-2015,02-02-2016,02-02-2016,02-02-2016,18700,"$51,238.3"
Recovery Program - Read Blvd West,Principal Engineering Inc.,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-14-2015,10-22-2015,10-29-2015,11-06-2015,11-16-2015,01-12-2016,01-12-2016,01-12-2016,18666,"$57,553.33"
Recovery Program - Filmore Quadrant 1,Professional Engineering Consultants Corp.,Supervision,no,Express Pay,04 Department to Deliver to Finance,4 Department to Deliver to Finance,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-06-2015,10-06-2015,10-13-2015,10-19-2015,10-20-2015,,,12-23-2015,18552,"$14,243.26"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-24-2015,09-24-2015,10-13-2015,10-13-2015,10-15-2015,12-04-2015,12-04-2015,12-10-2015,18555,"$1,154.75"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),"APS Design & Testing, LLC",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-02-2015,09-23-2015,10-05-2015,10-13-2015,10-20-2015,03-02-2016,03-02-2016,03-15-2016,18304,"$7,534.24"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-20-2015,09-24-2015,10-01-2015,10-02-2015,10-13-2015,10-27-2015,10-27-2015,10-27-2015,18463,"$876,599.95"
Recovery Program - Mid-City,Infinity Engineering Consultants,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-16-2015,09-16-2015,09-22-2015,09-22-2015,09-24-2015,10-09-2015,10-09-2015,10-15-2015,18316,"$9,380.05"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-20-2015,09-14-2015,09-18-2015,09-21-2015,09-24-2015,10-09-2015,10-09-2015,10-09-2015,18298,"$850,258.65"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-20-2015,09-20-2015,09-17-2015,09-21-2015,09-24-2015,11-20-2015,11-20-2015,11-20-2015,18300,"$13,443.45"
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-28-2015,08-28-2015,09-15-2015,10-06-2015,10-07-2015,10-27-2015,10-27-2015,10-27-2015,18241,"$69,562.33"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,08-24-2015,09-11-2015,09-11-2015,09-23-2015,10-09-2015,10-09-2015,10-09-2015,18230,"$369,741.67"
Recovery Program - Village De L'Est,"Stanley Consultants, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-03-2015,09-03-2015,09-11-2015,09-14-2015,09-21-2015,10-09-2015,10-09-2015,10-09-2015,18231,"$245,757.97"
Recovery Program - Village De L'Est,"APS Design & Testing, LLC",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-30-2015,08-21-2015,09-09-2015,09-09-2015,09-16-2015,10-09-2015,10-09-2015,10-09-2015,18202,"$26,552.5"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,08-21-2015,08-24-2015,08-24-2015,09-09-2015,09-24-2015,09-24-2015,09-28-2015,18084,"$43,109.1"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,08-20-2015,08-24-2015,08-24-2015,09-14-2015,09-24-2015,09-24-2015,09-29-2015,18088,"$31,259.58"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,08-20-2015,08-21-2015,08-21-2015,08-25-2015,08-27-2015,08-27-2015,09-04-2015,18043,"$2,411.86"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,08-20-2015,08-21-2015,08-21-2015,08-25-2015,09-23-2015,09-23-2015,12-22-2015,18044,"$9,308.1"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2015,08-05-2015,08-21-2015,08-21-2015,08-26-2015,09-15-2015,09-15-2015,09-15-2015,18082,"$244,624.49"
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-30-2015,08-21-2015,08-21-2015,08-24-2015,08-25-2015,08-26-2015,08-26-2015,08-27-2015,18091,"$1,963.17"
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-27-2015,08-06-2015,08-21-2015,08-24-2015,08-25-2015,10-27-2015,10-27-2015,10-27-2015,18092,"$1,470.04"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,08-20-2015,08-20-2015,08-21-2015,09-07-2015,09-15-2015,09-15-2015,09-29-2015,18042,"$70,694.27"
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,08-11-2015,08-17-2015,08-18-2015,08-19-2015,10-27-2015,10-27-2015,10-27-2015,18015,"$4,969.38"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,07-16-2015,08-03-2015,08-05-2015,08-12-2015,08-26-2015,08-26-2015,08-31-2015,17907,$262.5
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-20-2015,07-30-2015,08-03-2015,08-04-2015,08-11-2015,08-24-2015,08-24-2015,08-24-2015,17911,"$76,999.4"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-20-2015,07-30-2015,08-03-2015,08-04-2015,08-11-2015,08-24-2015,08-24-2015,08-24-2015,17912,"$459,426.74"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-20-2015,07-16-2015,07-30-2015,07-31-2015,08-05-2015,08-24-2015,08-24-2015,08-24-2015,17898,"$378,926.78"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-20-2015,07-09-2015,07-30-2015,08-05-2015,08-11-2015,08-24-2015,08-24-2015,08-24-2015,17925,"$47,083.9"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-20-2015,07-20-2015,07-27-2015,08-06-2015,08-14-2015,09-24-2015,09-24-2015,09-28-2015,17857,$39.88
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-20-2015,07-20-2015,07-27-2015,08-06-2015,08-14-2015,09-24-2015,09-24-2015,09-28-2015,17858,"$9,102.08"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-20-2015,07-20-2015,07-27-2015,08-06-2015,08-14-2015,09-24-2015,09-24-2015,09-28-2015,17860,"$2,848.69"
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,07-09-2015,07-09-2015,07-12-2015,07-21-2015,08-24-2015,08-24-2015,08-25-2015,17776,"$17,148.27"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,07-07-2015,07-09-2015,07-13-2015,07-15-2015,08-24-2015,08-24-2015,08-31-2015,17778,"$5,987.19"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,07-07-2015,07-09-2015,07-13-2015,07-21-2015,08-24-2015,08-24-2015,08-31-2015,17779,"$1,994.2"
"Recovery Program - BW Cooper, Dixon, Gert Town",Eustis Engineering,Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-21-2015,06-17-2015,07-08-2015,07-15-2015,07-21-2015,08-24-2015,08-24-2015,08-25-2015,17770,"$34,510"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2015,07-07-2015,07-07-2015,07-13-2015,07-21-2015,08-24-2015,08-24-2015,08-31-2015,17777,$261.39
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,06-24-2015,06-30-2015,06-30-2015,06-04-2015,07-21-2015,07-21-2015,07-21-2015,17442,"$102,949.24"
Recovery Program - Holy Cross - Part 2,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-04-2015,06-16-2015,06-26-2015,06-29-2015,07-14-2015,07-30-2015,07-30-2015,08-05-2015,17690,"$1,222.8"
Recovery Program - Holy Cross - Part 2,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-30-2015,06-16-2015,06-26-2015,06-29-2015,07-14-2015,07-30-2015,07-30-2015,08-05-2015,17692,"$2,589.42"
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,06-23-2015,06-25-2015,06-26-2015,07-07-2015,07-30-2015,07-30-2015,08-03-2015,17687,"$17,969.37"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-15-2015,06-15-2015,06-24-2015,06-29-2015,07-09-2015,07-30-2015,07-30-2015,08-07-2015,17676,"$4,747.83"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-15-2015,06-15-2015,06-24-2015,06-29-2015,07-09-2015,07-30-2015,07-30-2015,08-07-2015,17677,"$15,170.13"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-15-2015,06-15-2015,06-24-2015,06-29-2015,07-09-2015,07-30-2015,07-30-2015,08-07-2015,17678,$66.47
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,06-16-2015,06-23-2015,06-23-2015,07-08-2015,07-30-2015,07-30-2015,08-05-2015,17667,"$9,064"
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,06-15-2015,06-19-2015,06-22-2015,07-07-2015,07-30-2015,07-30-2015,08-05-2015,17645,"$17,187.86"
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,06-08-2015,06-19-2015,06-22-2015,07-09-2015,08-24-2015,08-24-2015,08-25-2015,17646,"$31,236"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,06-11-2015,06-18-2015,06-18-2015,07-06-2015,07-30-2015,07-30-2015,08-05-2015,17634,$237.5
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,06-11-2015,06-18-2015,06-18-2015,07-01-2015,07-17-2015,07-17-2015,07-21-2015,17635,"$48,249.57"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-05-2015,06-11-2015,06-15-2015,06-16-2015,07-14-2015,07-30-2015,07-30-2015,08-07-2015,17576,"$176,170.19"
Recovery Program - Lakeview Quadrant 1,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-30-2015,06-15-2015,06-15-2015,06-29-2015,07-06-2015,07-30-2015,07-30-2015,08-07-2015,17587,"$22,261.08"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-05-2015,06-11-2015,06-12-2015,06-16-2015,07-21-2015,08-26-2015,08-26-2015,08-31-2015,17577,"$1,710"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-05-2015,06-11-2015,06-12-2015,06-16-2015,07-14-2015,08-24-2015,08-24-2015,08-26-2015,17578,"$42,596.1"
Recovery Program - St. Roch - SWB,"N-Y Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2015,06-09-2015,06-11-2015,06-12-2015,06-23-2015,07-06-2015,07-06-2015,07-07-2015,17572,"$59,264.08"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-20-2015,06-10-2015,06-11-2015,06-12-2015,06-23-2015,07-06-2015,07-06-2015,07-07-2015,17573,"$751,193.4"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,05-19-2015,06-08-2015,06-10-2015,06-19-2015,07-06-2015,07-06-2015,07-07-2015,17539,"$28,858.72"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2015,05-28-2015,06-08-2015,06-10-2015,06-23-2015,07-06-2015,07-06-2015,07-07-2015,17540,"$3,524.5"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-22-2015,06-05-2015,06-08-2015,06-08-2015,06-11-2015,07-06-2015,07-06-2015,07-08-2015,17541,"$34,097.66"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,05-19-2015,06-08-2015,06-10-2015,06-19-2015,06-19-2015,06-19-2015,06-30-2015,17566,"$14,478.57"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2015,06-01-2015,06-02-2015,06-02-2015,06-04-2015,07-21-2015,07-21-2015,07-21-2015,17499,"$1,225.43"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2015,06-01-2015,06-02-2015,06-03-2015,06-16-2015,07-21-2015,07-21-2015,07-21-2015,17500,"$93,233.75"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,05-01-2015,06-02-2015,06-12-2015,07-07-2015,07-30-2015,07-30-2015,08-05-2015,17522,"$87,055.36"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-02-2015,03-13-2015,05-27-2015,05-27-2015,06-01-2015,06-18-2015,06-18-2015,06-24-2015,17459,"$1,108,572.36"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-19-2015,05-19-2015,05-26-2015,06-01-2015,06-03-2015,06-18-2015,06-18-2015,07-01-2015,17443,"$30,340.26"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-19-2015,05-19-2015,05-26-2015,06-01-2015,06-03-2015,06-18-2015,06-18-2015,06-24-2015,17444,"$9,495.63"
