Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-22-2013,12-20-2013,01-03-2014,01-03-2014,01-09-2014,01-14-2014,01-14-2014,01-15-2014,01-24-2014,01-28-2014,13314,"$51,437.8"
Recovery Program - Iberville/ Tulane Gravier - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2013,12-06-2013,01-02-2014,01-02-2014,01-03-2014,01-10-2014,01-10-2014,01-15-2014,01-27-2014,01-31-2014,13308,"$2,328.23"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2013,12-20-2013,12-23-2013,01-15-2014,01-27-2014,01-30-2014,01-31-2014,01-31-2014,02-07-2014,02-10-2014,13272,"$8,484.26"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-20-2013,12-20-2013,12-20-2013,12-20-2013,01-02-2014,01-02-2014,01-02-2014,01-02-2014,12-27-2013,01-02-2014,13249,"$55,782.53"
Recovery Program - St. Claude Quadrant 2,Professional Service Industries,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-13-2013,12-13-2013,12-20-2013,12-23-2013,01-06-2014,01-06-2014,01-06-2014,01-07-2014,01-06-2014,01-21-2014,13251,"$6,380.75"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2013,11-15-2013,12-13-2013,01-06-2014,01-27-2014,01-30-2014,01-31-2014,01-31-2014,02-07-2014,02-10-2014,13207,"$16,994.56"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-22-2013,12-06-2013,12-11-2013,12-11-2013,12-18-2013,12-19-2013,12-19-2013,12-19-2013,12-20-2013,12-30-2013,13181,"$82,279.23"
Recovery Program - Holy Cross - Part 1,Professional Service Industries,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2013,11-25-2013,12-03-2013,12-03-2013,12-18-2013,12-19-2013,12-19-2013,12-19-2013,12-20-2013,12-30-2013,13103,"$7,335.64"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2013,11-19-2013,12-02-2013,12-13-2013,12-23-2013,12-24-2013,12-24-2013,12-24-2013,12-20-2013,12-30-2013,13102,$395.13
Recovery Program - St. Claude Quadrant 1,Julien Engineering & Consulting,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-15-2013,11-18-2013,11-26-2013,11-27-2013,12-17-2013,12-19-2013,12-19-2013,12-20-2013,12-20-2013,12-30-2013,13019,"$42,345.68"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2013,10-31-2013,11-26-2013,12-03-2013,12-17-2013,12-18-2013,12-18-2013,12-19-2013,12-27-2013,12-30-2013,13093,"$12,699.22"
Recovery Program - Read Blvd East,Evans-Graves Engineering   Inc,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-26-2013,11-15-2013,11-22-2013,11-25-2013,12-12-2013,12-13-2013,12-13-2013,12-16-2013,12-23-2013,12-16-2013,13061,"$137,627.59"
Recovery Program - Milneburg - SWB,Hatch Mott MacDonald LLC,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2013,10-31-2013,11-22-2013,11-26-2013,12-09-2013,12-10-2013,12-10-2013,12-10-2013,12-13-2013,12-16-2013,13066,"$9,870.87"
Recovery Program - St. Claude Quadrant 1,Julien Engineering & Consulting,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-27-2012,11-14-2013,11-22-2013,11-26-2013,12-17-2013,12-19-2013,12-19-2013,12-20-2013,12-20-2013,12-30-2013,13070,$309.85
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-23-2013,10-23-2013,11-20-2013,12-02-2013,12-11-2013,12-13-2013,12-13-2013,12-16-2013,12-13-2013,12-23-2013,12399,"$25,103.96"
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2013,11-01-2013,11-15-2013,11-19-2013,12-06-2013,12-11-2013,12-11-2013,12-12-2013,12-20-2013,12-23-2013,13017,"$11,467.31"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-25-2013,11-01-2013,11-05-2013,11-05-2013,12-12-2013,12-13-2013,12-13-2013,12-16-2013,12-06-2013,12-12-2013,12886,"$25,100.32"
Recovery Program - Lakeview Quadrant 1,"CDM Smith, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-21-2013,10-21-2013,11-04-2013,11-06-2013,11-15-2013,11-20-2013,11-20-2013,11-21-2013,11-29-2013,12-03-2013,11960,"$10,685"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-27-2013,10-16-2013,11-01-2013,11-04-2013,11-13-2013,12-03-2013,12-03-2013,12-05-2013,11-29-2013,12-03-2013,12815,"$105,002.59"
Recovery Program - Lower Ninth Ward Quadrant 1,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,10-29-2013,10-30-2013,10-31-2013,11-11-2013,12-03-2013,12-03-2013,12-05-2013,12-13-2013,01-16-2014,12110,"$56,779.84"
Recovery Program - Lower Ninth Ward Quadrant 1,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2013,10-29-2013,10-30-2013,10-31-2013,11-11-2013,12-03-2013,12-03-2013,12-05-2013,12-13-2013,12-16-2013,12293,"$7,459.1"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2013,10-22-2013,10-28-2013,11-01-2013,12-06-2013,12-11-2013,12-11-2013,12-12-2013,12-20-2013,12-23-2013,12767,"$5,333.68"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2013,10-15-2013,10-25-2013,10-28-2013,11-12-2013,01-27-2014,01-27-2014,01-31-2014,02-07-2014,02-10-2014,12752,"$31,489.38"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2013,10-11-2013,10-22-2013,10-28-2013,11-11-2013,11-11-2013,11-11-2013,11-12-2013,11-15-2013,11-19-2013,12725,"$16,767.9"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2013,10-08-2013,10-16-2013,10-22-2013,11-08-2013,11-11-2013,11-11-2013,11-12-2013,11-15-2013,11-19-2013,12513,"$61,244.32"
Recovery Program - Broadmoor,Digital Engineering and Imaging,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-28-2013,10-02-2013,10-10-2013,10-17-2013,11-07-2013,11-12-2013,11-12-2013,11-13-2013,11-14-2013,11-19-2013,12643,"$43,075.92"
Recovery Program - Lizardi St,Plus Concrete,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,09-30-2013,09-30-2013,09-30-2013,10-17-2013,10-17-2013,10-17-2013,10-18-2013,10-18-2013,10-21-2013,12111,"$132,037.3"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2013,09-26-2013,09-30-2013,10-03-2013,10-22-2013,10-29-2013,10-29-2013,10-29-2013,11-01-2013,11-04-2013,12574,"$2,197.98"
Recovery Program - Lizardi St,Plus Concrete,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,09-24-2013,09-25-2013,09-27-2013,10-11-2013,10-14-2013,10-14-2013,10-15-2013,10-18-2013,10-21-2013,11954,"$677,265.04"
Recovery Program - Iberville/ Tulane Gravier - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-10-2013,09-18-2013,09-25-2013,09-25-2013,10-16-2013,10-24-2013,10-24-2013,10-28-2013,10-22-2013,11-04-2013,12550,"$54,135"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2013,09-16-2013,09-20-2013,09-27-2013,10-16-2013,10-24-2013,10-24-2013,10-25-2013,11-01-2013,11-04-2013,12511,"$17,766.96"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2013,08-31-2013,09-20-2013,09-23-2013,10-16-2013,10-16-2013,10-16-2013,10-24-2013,11-01-2013,11-06-2013,12512,"$83,623.44"
Recovery Program - Little Woods - SWB,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-29-2013,09-12-2013,09-12-2013,09-13-2013,11-14-2013,11-01-2013,11-01-2013,11-04-2013,11-01-2013,11-08-2013,11957,"$5,197.5"
Recovery Program - Broadmoor,Digital Engineering and Imaging,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-24-2013,08-26-2013,09-09-2013,09-09-2013,09-23-2013,09-23-2013,09-23-2013,10-11-2013,10-18-2013,10-21-2013,12259,"$36,922.21"
Recovery Program - Marlyville-Fontainebleau,"Schrenk Endom Flanagan, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-28-2013,08-28-2013,09-09-2013,09-11-2013,10-03-2013,10-04-2013,10-04-2013,10-10-2013,10-18-2013,10-21-2013,12397,"$196,346.2"
Recovery Program - Florida Area/Florida Development,Stantec Consulting Services,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-02-2013,08-29-2013,09-04-2013,09-06-2013,09-30-2013,10-02-2013,10-02-2013,10-08-2013,10-11-2013,10-15-2013,12213,"$127,652.17"
Recovery Program - Milneburg - SWB,Hatch Mott MacDonald LLC,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2013,08-29-2013,09-03-2013,09-04-2013,09-24-2013,10-14-2013,10-14-2013,10-15-2013,10-18-2013,10-21-2013,12292,"$9,870.88"
Recovery Program - St. Claude (Pavement Only),"Fugro Consultants, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2013,08-28-2013,08-29-2013,08-29-2013,09-24-2013,09-25-2013,09-25-2013,10-01-2013,10-09-2013,10-15-2013,10854,"$67,567"
Recovery Program - St. Claude Quadrant 2,Rahman & Associates,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-29-2013,08-29-2013,08-29-2013,08-30-2013,09-19-2013,10-14-2013,10-14-2013,10-15-2013,10-18-2013,10-21-2013,12262,"$112,186.45"
Recovery Program - Lower Garden District/CBD - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,08-20-2013,08-28-2013,09-03-2013,09-25-2013,10-02-2013,10-08-2013,10-08-2013,10-09-2013,10-15-2013,11784,"$1,000"
Recovery Program - St. Anthony Quadrant 2,"C.B. & I. (aka Shaw Environmental, Inc.)",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-15-2013,08-15-2013,08-28-2013,08-28-2013,09-18-2013,09-18-2013,09-18-2013,10-01-2013,10-09-2013,10-15-2013,12226,"$136,994.24"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,08-09-2013,08-28-2013,08-28-2013,09-19-2013,09-19-2013,09-24-2013,10-08-2013,10-11-2013,10-15-2013,12253,"$25,339.46"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,08-13-2013,08-28-2013,08-28-2013,09-24-2013,09-26-2013,09-26-2013,10-01-2013,10-09-2013,10-15-2013,12254,"$398,557.21"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,08-13-2013,08-28-2013,08-28-2013,09-18-2013,09-20-2013,09-20-2013,10-01-2013,10-11-2013,10-15-2013,12255,"$28,963.11"
Recovery Program - St. Roch - SWB,"N-Y Associates, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,08-20-2013,08-22-2013,08-27-2013,10-03-2013,10-09-2013,10-09-2013,10-10-2013,10-10-2013,11-06-2013,12230,"$144,430.7"
Recovery Program - West Lake Forest,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,08-16-2013,08-19-2013,08-21-2013,09-10-2013,09-10-2013,09-10-2013,09-18-2013,09-27-2013,10-01-2013,11956,"$9,371.76"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2013,08-09-2013,08-15-2013,08-26-2013,09-19-2013,09-19-2013,09-19-2013,10-01-2013,10-09-2013,10-15-2013,11607,"$15,062.28"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,08-09-2013,08-15-2013,08-26-2013,09-19-2013,09-19-2013,09-19-2013,10-01-2013,10-11-2013,10-15-2013,11977,"$13,876.24"
Recovery Program - Touro,Waggoner Engineering,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2013,07-31-2013,08-08-2013,08-09-2013,09-05-2013,09-09-2013,09-09-2013,09-18-2013,09-26-2013,10-01-2013,12122,"$108,609.06"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-26-2012,06-26-2013,08-07-2013,08-07-2013,08-26-2013,08-27-2013,08-27-2013,09-26-2013,10-04-2013,10-08-2013,10166,"$43,336.4"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-24-2013,08-05-2013,08-07-2013,08-07-2013,09-06-2013,10-08-2013,10-08-2013,10-10-2013,10-18-2013,10-21-2013,10657,"$43,450.44"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-26-2013,08-07-2013,08-07-2013,08-07-2013,09-06-2013,10-08-2013,10-08-2013,10-10-2013,10-18-2013,10-21-2013,12107,"$191,055.17"
Recovery Program - Lake Terrace & Oaks - SWB,Mott MacDonald LLC,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-26-2013,07-30-2013,08-05-2013,08-05-2013,08-23-2013,08-28-2013,08-28-2013,09-09-2013,09-23-2013,09-23-2013,12090,"$10,311.5"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,07-16-2013,08-01-2013,08-01-2013,08-16-2013,08-16-2013,08-16-2013,08-21-2013,08-30-2013,09-05-2013,12054,"$119,606.51"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,07-16-2013,08-01-2013,08-01-2013,09-17-2013,09-19-2013,09-19-2013,10-01-2013,10-08-2013,10-15-2013,12055,"$6,258.62"
Recovery Program - Read Blvd East,Evans-Graves Engineering   Inc,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-08-2013,07-25-2013,07-31-2013,08-01-2013,08-22-2013,08-29-2013,08-29-2013,09-09-2013,09-23-2013,09-23-2013,11900,"$243,921.3"
Recovery Program - Filmore Quadrant 2,"Volkert, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-24-2013,07-29-2013,07-31-2013,08-01-2013,08-27-2013,08-29-2013,08-29-2013,09-09-2013,09-17-2013,09-23-2013,12048,"$97,082.96"
Recovery Program - Marlyville-Fontainebleau,"Schrenk Endom Flanagan, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2013,07-16-2013,07-26-2013,07-30-2013,08-27-2013,08-29-2013,08-29-2013,09-09-2013,09-27-2013,09-23-2013,11416,"$9,730.56"
Recovery Program - Gentilly Woods,Barowka & Bonura,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2013,07-18-2013,07-26-2013,07-26-2013,08-23-2013,08-26-2013,08-26-2013,09-26-2013,10-04-2013,10-08-2013,11873,"$118,009.83"
Recovery Program - Treme - Lafitte,Meyer Engineers,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-16-2013,07-17-2013,07-26-2013,07-26-2013,08-19-2013,08-21-2013,08-21-2013,08-26-2013,08-30-2013,09-05-2013,11890,"$225,793.38"
Recovery Program - Marlyville-Fontainebleau,"Schrenk Endom Flanagan, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-14-2013,07-16-2013,07-26-2013,07-30-2013,08-29-2013,09-04-2013,09-04-2013,09-09-2013,09-18-2013,09-23-2013,11994,"$159,502.49"
Recovery Program - Lakeview Quadrant 1,"APS Design & Testing, LLC",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-11-2013,07-17-2013,07-17-2013,07-18-2013,08-13-2013,08-15-2013,08-15-2013,08-21-2013,08-30-2013,09-05-2013,11903,"$30,600"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2013,07-15-2013,07-16-2013,07-17-2013,07-25-2013,07-25-2013,07-26-2013,08-01-2013,08-09-2013,08-12-2013,11819,"$153,871.98"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2013,07-15-2013,07-16-2013,07-17-2013,08-05-2013,08-06-2013,08-06-2013,08-08-2013,08-12-2013,08-12-2013,11932,"$14,784.37"
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-24-2013,07-12-2013,07-15-2013,07-15-2013,07-29-2013,08-02-2013,08-02-2013,08-07-2013,08-16-2013,08-19-2013,11919,"$2,001.4"
Recovery Program - Lower Ninth Ward Quadrant 1,"PSI, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,06-25-2013,07-11-2013,07-11-2013,08-08-2013,08-12-2013,08-12-2013,08-15-2013,08-23-2013,08-26-2013,11866,"$2,211.9"
Recovery Program - Lizardi St,Plus Concrete,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,07-02-2013,07-10-2013,08-07-2013,09-25-2013,09-27-2013,09-27-2013,10-08-2013,10-18-2013,10-21-2013,11876,"$52,876.47"
Municipal Yacht Harbor Fishing Pier and Public Restrooms + Site Improvements,Sizeler Thompson Brown Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,06-30-2013,07-10-2013,08-05-2013,08-08-2013,08-08-2013,08-08-2013,08-15-2013,08-23-2013,08-26-2013,11878,$144.6
Recovery Program - West End,Atkins North America Inc.,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-01-2013,07-01-2013,07-08-2013,07-08-2013,08-07-2013,08-14-2013,08-14-2013,08-16-2013,08-23-2013,08-26-2013,11422,"$223,165.47"
Recovery Program - Lakeview Quadrant 1,"APS Design & Testing, LLC",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-28-2013,06-02-2013,06-24-2013,06-25-2013,07-18-2013,07-31-2013,07-31-2013,08-07-2013,08-13-2013,08-13-2013,11720,"$33,777"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2013,06-01-2013,06-20-2013,06-24-2013,07-24-2013,07-31-2013,07-31-2013,08-07-2013,08-16-2013,08-19-2013,11619,"$3,068.36"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-24-2013,06-17-2013,06-19-2013,06-25-2013,07-23-2013,07-31-2013,07-31-2013,08-07-2013,09-06-2013,09-09-2013,11639,"$406,239.55"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-24-2013,06-17-2013,06-19-2013,06-25-2013,07-22-2013,07-31-2013,07-31-2013,08-07-2013,09-06-2013,09-09-2013,11640,"$43,252.88"
Recovery Program - St. Roch - SWB,"N-Y Associates, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2013,06-14-2013,06-18-2013,06-20-2013,07-12-2013,07-16-2013,07-16-2013,07-24-2013,08-23-2013,08-26-2013,10967,"$32,422.5"
Recovery Program - Broadmoor,Digital Engineering and Imaging,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2013,06-13-2013,06-18-2013,06-24-2013,07-23-2013,07-31-2013,07-31-2013,08-07-2013,08-16-2013,08-19-2013,11611,"$91,760.33"
