Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
NOPD Mounted Division Horse Stables,"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-24-2014,09-25-2014,09-30-2014,10-01-2014,10-02-2014,10-06-2014,10-06-2014,10-10-2014,10-02-2014,10-27-2014,15575,"$222,702.32"
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2014,09-16-2014,09-30-2014,09-30-2014,11-25-2014,12-02-2014,12-02-2014,12-02-2014,12-05-2014,12-19-2014,15781,"$162,518.49"
NOFD Engine 31 Alba Rd.,Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,09-24-2014,09-26-2014,10-08-2014,10-13-2014,10-15-2014,10-15-2014,10-16-2014,10-13-2014,10-27-2014,15565,$383.06
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-17-2014,09-17-2014,09-26-2014,10-08-2014,10-13-2014,10-15-2014,10-15-2014,10-16-2014,10-14-2014,10-27-2014,15566,"$1,695.82"
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-17-2014,09-17-2014,09-26-2014,10-08-2014,10-13-2014,10-15-2014,10-15-2014,10-16-2014,10-13-2014,10-27-2014,15567,"$3,429.87"
Rosenwald Center Phase I - Gymnasium & Grounds,Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-24-2014,08-31-2014,09-26-2014,10-01-2014,10-02-2014,10-06-2014,10-06-2014,10-10-2014,10-02-2014,11-03-2014,15570,"$4,630"
Parks & Parkways Phase III - Multiple Buildings,CDW Services,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,09-09-2014,09-22-2014,10-01-2014,10-07-2014,10-09-2014,10-09-2014,10-10-2014,10-07-2014,10-27-2014,15520,"$378,101.14"
New Orleans Juvenile Justice Center (Youth Study Center),Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-18-2014,09-02-2014,09-22-2014,09-24-2014,09-29-2014,10-01-2014,10-01-2014,10-10-2014,09-29-2014,10-27-2014,15549,"$1,338.72"
NOFD Engine Nos. 22 and 39,"Kemper Construction Company, Inc.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,09-11-2014,09-19-2014,09-29-2014,10-01-2014,10-06-2014,10-06-2014,10-10-2014,10-01-2014,10-27-2014,15524,"$99,970.87"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-25-2014,08-27-2014,09-19-2014,09-19-2014,09-24-2014,09-26-2014,09-26-2014,10-01-2014,09-24-2014,10-15-2014,15533,"$297,521.01"
Municipal Yacht Harbor Marina Repairs,Sizeler Thompson Brown Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-18-2014,09-18-2014,09-19-2014,10-06-2014,10-17-2014,10-24-2014,10-24-2014,10-28-2014,10-17-2014,11-03-2014,15721,"$242,351.46"
Sanchez (Copelin-Byrd) Center,"Gibbs Construction, Co.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,04 D-CDBG Project Manager to Approve,Fully Paid,08-31-2014,09-11-2014,09-18-2014,09-18-2014,10-09-2014,10-14-2014,10-14-2014,10-15-2014,10-09-2014,10-27-2014,15502,"$447,596.28"
Municipal Yacht Harbor Marina Repairs,Sizeler Thompson Brown Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-18-2014,09-18-2014,09-18-2014,10-06-2014,10-20-2014,10-24-2014,10-24-2014,10-28-2014,10-20-2014,11-03-2014,15731,"$81,089.46"
Di Benedetto Playground Enhancements,"Crescent Commercial Construction, LLC",General Contractor,no,Revolver/CDBG,10 Paid,6 Finance to Cut Check,10 Paid,Fully Paid,08-31-2014,09-03-2014,09-17-2014,10-06-2014,12-05-2014,12-08-2014,12-08-2014,12-10-2014,12-05-2014,12-22-2014,15500,"$26,878.6"
Carrollton Hollygrove Senior Center,Beta Testing & Inspection,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-10-2014,09-10-2014,09-12-2014,09-15-2014,09-18-2014,09-18-2014,09-18-2014,09-19-2014,09-18-2014,09-29-2014,15453,"$1,216.39"
Rosenwald Center Phase I - Gymnasium & Grounds,"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-10-2014,09-10-2014,09-12-2014,09-15-2014,09-23-2014,09-26-2014,09-26-2014,10-01-2014,09-23-2014,10-15-2014,15454,"$31,954.38"
Carrollton Hollygrove Senior Center,Wharton-Smith,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2014,08-29-2014,09-12-2014,09-18-2014,09-25-2014,09-29-2014,09-29-2014,10-01-2014,09-25-2014,10-15-2014,15455,"$190,413.65"
Rosenwald Center Phase I - Gymnasium & Grounds,"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-10-2014,09-11-2014,09-12-2014,09-15-2014,09-24-2014,09-29-2014,09-29-2014,10-01-2014,09-24-2014,11-03-2014,15479,"$110,175.37"
Rosenwald Center Phase I - Gymnasium & Grounds,"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-03-2014,09-11-2014,09-12-2014,09-15-2014,09-24-2014,09-29-2014,09-29-2014,10-01-2014,09-24-2014,10-15-2014,15480,"$6,770.1"
Lyons Center,Wayne Troyer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-03-2014,09-03-2014,09-09-2014,09-10-2014,09-18-2014,09-18-2014,09-18-2014,09-19-2014,09-18-2014,09-29-2014,15399,"$2,596.72"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2014,09-05-2014,09-09-2014,09-09-2014,09-22-2014,09-26-2014,09-26-2014,10-01-2014,09-22-2014,10-15-2014,15463,"$152,513"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2014,09-05-2014,09-09-2014,09-09-2014,09-23-2014,09-26-2014,09-26-2014,10-01-2014,09-23-2014,10-15-2014,15464,"$121,068"
New Orleans Juvenile Justice Center (Youth Study Center),The McDonnel Group,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,08-28-2014,09-08-2014,09-08-2014,10-10-2014,10-15-2014,10-15-2014,10-16-2014,10-13-2014,11-03-2014,15392,"$747,226.9"
Rosenwald Center Phase I - Gymnasium & Grounds,"Gibbs Construction, Co.",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-25-2014,08-25-2014,09-08-2014,09-10-2014,09-18-2014,09-18-2014,09-18-2014,09-19-2014,09-18-2014,09-29-2014,15398,"$269,739.29"
Municipal Auditorium Phase I B - Abatement,"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,08-06-2014,09-05-2014,09-08-2014,09-17-2014,09-18-2014,09-18-2014,09-19-2014,09-18-2014,09-29-2014,15385,"$2,426.1"
New Orleans Juvenile Justice Center (Youth Study Center),Beta Testing & Inspection,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-02-2014,09-02-2014,09-05-2014,09-08-2014,09-17-2014,09-22-2014,09-22-2014,10-01-2014,09-17-2014,10-15-2014,15389,"$27,085.47"
Carrollton Hollygrove Senior Center,In-Site Developments LLC,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,07-31-2014,09-02-2014,09-02-2014,09-15-2014,09-16-2014,09-16-2014,09-16-2014,09-15-2014,09-23-2014,15352,"$5,110.8"
Carrollton Hollygrove Senior Center,In-Site Developments LLC,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2014,08-31-2014,09-02-2014,09-02-2014,09-15-2014,09-16-2014,09-16-2014,09-16-2014,09-15-2014,09-23-2014,15353,"$5,110.8"
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,07-20-2014,08-29-2014,09-02-2014,09-09-2014,09-15-2014,09-15-2014,09-15-2014,09-09-2014,09-23-2014,15344,"$305,404.14"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,06-27-2014,08-29-2014,08-29-2014,09-02-2014,09-05-2014,09-05-2014,09-08-2014,09-12-2014,09-16-2014,15357,"$300,340.24"
NOPD Mounted Division Horse Stables,"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-25-2014,08-27-2014,08-28-2014,08-29-2014,09-02-2014,09-05-2014,09-05-2014,09-08-2014,,09-02-2014,15340,"$232,793.27"
Municipal Auditorium Phase I A - Permanent Pump Replacement,Arc Mechanical,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-28-2014,08-15-2014,08-28-2014,09-03-2014,09-16-2014,09-17-2014,09-17-2014,09-19-2014,09-16-2014,09-29-2014,15341,"$54,209.48"
New Orleans Coroner's Complex,Termimesh,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-22-2014,08-22-2014,08-28-2014,08-28-2014,12-01-2014,12-05-2014,12-05-2014,12-08-2014,12-03-2014,01-12-2015,15396,"$3,290.51"
Sanchez (Copelin-Byrd) Center,"Perez, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-14-2014,08-14-2014,08-27-2014,08-28-2014,09-02-2014,09-09-2014,09-09-2014,09-15-2014,09-09-2014,09-23-2014,15328,"$13,733.64"
Rosenwald Center Phase I - Gymnasium & Grounds,Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-25-2014,08-25-2014,08-26-2014,08-29-2014,09-08-2014,09-15-2014,09-15-2014,09-15-2014,09-08-2014,09-23-2014,15319,"$1,428.5"
NOFD Engine 31 Alba Rd.,Eustis Engineering,Testing,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-21-2014,08-21-2014,08-22-2014,08-27-2014,09-02-2014,09-03-2014,09-03-2014,09-08-2014,,09-02-2014,15276,$882.54
Gernon Brown Gym Enhancements,CDW Services,General Contractor,no,Revolver/City/CDBG,10 Paid,8 Paid,10 Paid,Fully Paid,08-19-2014,08-19-2014,08-22-2014,09-15-2014,11-12-2014,11-12-2014,11-12-2014,11-13-2014,11-12-2014,11-25-2014,15277,"$120,268.9"
NOFD Engine Nos. 22 and 39,"Kemper Construction Company, Inc.",General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-30-2014,08-18-2014,08-22-2014,08-25-2014,08-27-2014,08-29-2014,08-29-2014,09-03-2014,,08-27-2014,15283,"$97,227.75"
NOFD Engine 31 Alba Rd.,Devier Design Build,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,07-28-2014,08-20-2014,10-02-2014,10-03-2014,10-06-2014,10-06-2014,10-10-2014,10-03-2014,10-27-2014,15258,"$59,769.84"
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-13-2014,08-13-2014,08-18-2014,08-19-2014,08-28-2014,08-29-2014,08-29-2014,09-03-2014,,08-27-2014,15244,"$1,130.55"
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-13-2014,08-13-2014,08-18-2014,08-19-2014,08-27-2014,08-29-2014,08-29-2014,09-03-2014,,08-29-2014,15245,"$3,429.88"
NOFD Engine Nos. 22 and 39,Southern Earth Sciences,Testing,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,07-31-2014,08-15-2014,08-18-2014,08-22-2014,08-26-2014,08-26-2014,08-28-2014,,08-22-2014,15236,$650
Algiers Courthouse Restoration Ph. I - Structural Evaluation,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-11-2014,08-11-2014,08-15-2014,08-15-2014,08-19-2014,08-20-2014,08-20-2014,08-22-2014,08-29-2014,09-03-2014,15238,"$7,639.5"
Parks & Parkways Phase III - Multiple Buildings,CDW Services,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,08-06-2014,08-14-2014,08-15-2014,08-21-2014,08-25-2014,08-25-2014,08-26-2014,08-21-2014,09-03-2014,15224,"$195,584.24"
Sanchez (Copelin-Byrd) Center,"Gibbs Construction, Co.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,08 Finance to Cut Check,Fully Paid,07-31-2014,08-05-2014,08-13-2014,08-13-2014,08-29-2014,09-05-2014,09-05-2014,09-08-2014,09-12-2014,09-16-2014,15219,"$609,388.61"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,07-07-2014,08-12-2014,08-12-2014,08-14-2014,08-21-2014,08-21-2014,08-22-2014,08-29-2014,09-03-2014,15205,"$481,545.5"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,08-07-2014,08-12-2014,08-12-2014,08-18-2014,08-20-2014,08-20-2014,08-22-2014,08-18-2014,09-03-2014,15206,"$120,365"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,06-27-2014,08-11-2014,08-11-2014,08-11-2014,08-15-2014,08-15-2014,08-15-2014,08-22-2014,08-25-2014,15176,"$386,168.49"
Carrollton Hollygrove Senior Center,Beta Testing & Inspection,Testing,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-26-2014,08-07-2014,08-11-2014,08-11-2014,08-14-2014,08-21-2014,08-21-2014,08-22-2014,,08-14-2014,15186,$990.78
New Orleans Juvenile Justice Center (Youth Study Center),Beta Testing & Inspection,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-05-2014,08-05-2014,08-08-2014,08-11-2014,08-13-2014,08-15-2014,08-15-2014,08-15-2014,08-22-2014,08-25-2014,15169,"$11,711.04"
Timecard Management System,"Data Management, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2014,03-31-2014,08-07-2014,08-07-2014,08-07-2014,08-08-2014,08-08-2014,08-11-2014,08-15-2014,08-19-2014,15153,"$7,432.7"
Carrollton Hollygrove Senior Center,Wharton-Smith,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,07-31-2014,08-07-2014,08-15-2014,08-20-2014,08-25-2014,08-25-2014,08-26-2014,09-03-2014,08-20-2014,15156,"$91,544.85"
NOFD Engine 31 Alba Rd.,Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-18-2014,07-30-2014,08-01-2014,08-01-2014,08-04-2014,08-05-2014,08-05-2014,08-07-2014,08-15-2014,08-19-2014,15122,"$2,665.19"
New Orleans Coroner's Complex,Termimesh,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-29-2014,07-29-2014,08-01-2014,08-21-2014,09-18-2014,09-18-2014,09-18-2014,09-19-2014,09-18-2014,11-18-2014,15395,"$6,000"
Rosenwald Center Phase I - Gymnasium & Grounds,Eustis Engineering,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-25-2014,07-25-2014,07-30-2014,08-01-2014,08-07-2014,08-08-2014,08-08-2014,08-11-2014,08-15-2014,08-19-2014,15110,"$2,134"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-22-2014,07-22-2014,07-29-2014,08-01-2014,08-04-2014,08-05-2014,08-05-2014,08-07-2014,08-15-2014,08-19-2014,15101,"$3,501.61"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-22-2014,07-22-2014,07-29-2014,08-01-2014,08-04-2014,08-05-2014,08-05-2014,08-07-2014,08-15-2014,08-19-2014,15103,"$1,852.42"
Municipal Auditorium Phase I A - Permanent Pump Replacement,Arc Mechanical,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-24-2014,07-24-2014,07-29-2014,07-29-2014,08-01-2014,08-05-2014,08-05-2014,08-07-2014,08-15-2014,08-19-2014,15104,"$89,912.75"
Rosenwald Center Phase I - Gymnasium & Grounds,"Gibbs Construction, Co.",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-25-2014,07-24-2014,07-28-2014,08-01-2014,08-07-2014,08-11-2014,08-11-2014,08-12-2014,08-15-2014,08-19-2014,15084,"$745,004.31"
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,07-18-2014,07-28-2014,08-11-2014,08-18-2014,08-21-2014,08-21-2014,08-22-2014,08-18-2014,09-03-2014,15087,"$209,011.03"
"Joseph Bartholomew Maintenance Warehouse, Pump House, & Fencing","W. L. Wyman Construction Co., Inc.",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-18-2014,06-20-2014,07-28-2014,07-30-2014,07-31-2014,08-05-2014,08-05-2014,08-07-2014,08-15-2014,08-19-2014,15100,"$20,150.62"
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,07-18-2014,07-28-2014,08-11-2014,08-19-2014,08-21-2014,08-21-2014,08-22-2014,09-03-2014,08-19-2014,15230,$168.6
Criminal Evidence & Processing Complex,"CDM Smith, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-12-2014,07-18-2014,07-23-2014,08-01-2014,08-06-2014,08-11-2014,08-11-2014,08-12-2014,08-15-2014,08-19-2014,15069,"$72,150"
NOFD Engine Nos. 22 and 39,"Kemper Construction Company, Inc.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-03-2014,07-17-2014,07-21-2014,07-25-2014,07-30-2014,08-05-2014,08-05-2014,08-07-2014,08-15-2014,08-19-2014,15039,"$198,574.8"
Algiers Courthouse Restoration Ph. I - Structural Evaluation,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-28-2014,07-17-2014,07-18-2014,07-23-2014,07-29-2014,07-30-2014,07-30-2014,08-01-2014,08-07-2014,08-12-2014,15036,"$6,250.5"
Sanchez (Copelin-Byrd) Center,"Gibbs Construction, Co.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,04 D-CDBG Project Manager to Approve,Fully Paid,06-30-2014,07-17-2014,07-18-2014,07-18-2014,08-06-2014,08-08-2014,08-08-2014,08-11-2014,08-18-2014,08-19-2014,15038,"$712,509.73"
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-18-2014,04-18-2014,07-17-2014,08-04-2014,08-29-2014,09-03-2014,09-03-2014,09-08-2014,,08-28-2014,15025,"$2,858.23"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,06-30-2014,07-16-2014,07-18-2014,07-23-2014,07-28-2014,07-28-2014,07-29-2014,07-28-2014,08-04-2014,15015,"$59,536.5"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,06-30-2014,07-16-2014,07-18-2014,07-28-2014,07-31-2014,07-31-2014,08-04-2014,08-08-2014,08-12-2014,15016,"$123,238.5"
NOFD Engine Nos. 22 and 39,Southern Earth Sciences,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,06-30-2014,07-15-2014,07-16-2014,07-22-2014,07-25-2014,07-25-2014,07-28-2014,07-22-2014,08-04-2014,15000,$840
Carrollton Hollygrove Senior Center,Beta Testing & Inspection,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-11-2014,07-11-2014,07-15-2014,07-18-2014,07-25-2014,07-30-2014,07-30-2014,08-01-2014,08-07-2014,08-12-2014,15005,$553.19
Parks & Parkways Phase III - Multiple Buildings,CDW Services,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,07-01-2014,07-15-2014,07-17-2014,07-22-2014,07-28-2014,07-28-2014,07-28-2014,07-22-2014,08-04-2014,15006,"$162,777.87"
Municipal Auditorium Phase I B - Abatement,"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,07-11-2014,07-15-2014,07-23-2014,07-24-2014,07-25-2014,07-25-2014,07-28-2014,07-24-2014,08-04-2014,15007,"$3,731.71"
Municipal Auditorium Phase I A - Permanent Pump Replacement,Arc Mechanical,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-23-2014,06-23-2014,07-14-2014,07-15-2014,07-21-2014,07-25-2014,07-25-2014,07-25-2014,07-23-2014,08-04-2014,14984,"$61,132.5"
Carrollton Hollygrove Senior Center,Wharton-Smith,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,06-30-2014,07-14-2014,07-15-2014,07-21-2014,07-22-2014,07-22-2014,07-23-2014,07-21-2014,08-04-2014,14985,"$81,044.55"
New Orleans Juvenile Justice Center (Youth Study Center),Beta Testing & Inspection,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-09-2014,07-09-2014,07-14-2014,07-15-2014,07-28-2014,07-30-2014,07-30-2014,08-01-2014,08-07-2014,08-12-2014,15043,"$19,716.89"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-23-2014,06-23-2014,07-01-2014,07-08-2014,07-15-2014,07-17-2014,07-17-2014,07-21-2014,07-15-2014,07-28-2014,14832,"$7,003.22"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-23-2014,06-23-2014,07-01-2014,07-08-2014,07-15-2014,07-17-2014,07-17-2014,07-21-2014,07-15-2014,07-28-2014,14833,"$3,704.82"
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-23-2014,06-23-2014,07-01-2014,07-08-2014,07-15-2014,07-17-2014,07-17-2014,07-21-2014,07-15-2014,07-28-2014,14834,"$1,507.4"
