"","Check","PO","Account.String","Department","Invoice.Date","Stamp.Date","Accounts.Payable.Date","Check.Date","Vendor","Amount","AP","TotalDays","Qtr","APUnder7","AP7_14","APOver14","TotalUnder30","Total31_60","Total61_90","Total91_120","TotalOver120"
"1022",90476,"2133268133","0001-0210-2133-200-212150","mayor's office - core",2013-01-02,NA,2013-01-10,2013-02-07,"",186,20,36,2013 Q1,0,0,1,0,1,0,0,0
"1023",90477,"5001312520","0001-0500-5001-200-212060","public works",2013-01-14,NA,2013-02-05,2013-02-07,"",1548,3,24,2013 Q1,1,0,0,1,0,0,0,0
"1024",90478,"2282268993","0001-0220-2282-200-212160","cao",2012-06-12,NA,2013-02-05,2013-02-07,"1340 OWNER LLC",128769.98,3,240,2013 Q1,1,0,0,0,0,0,0,1
"1025",90499,"2310268583","0001-0230-2310-200-212600","law",2013-01-09,NA,2013-01-18,2013-02-14,"",167,18,36,2013 Q1,0,0,1,0,1,0,0,0
"1026",90500,"2310268584","0001-0230-2310-200-212600","law",2013-01-09,NA,2013-01-18,2013-02-14,"",192.5,18,36,2013 Q1,0,0,1,0,1,0,0,0
"1027",90527,"4031268506","0001-0400-4031-200-212172","revenue",2012-12-29,NA,2013-01-18,2013-02-14,"",986.93,18,47,2013 Q1,0,0,1,0,1,0,0,0
"1028",90528,"4081259331","0001-0400-4081-200-212172","retirement",2012-12-29,NA,2013-01-18,2013-02-14,"",72.59,18,47,2013 Q1,0,0,1,0,1,0,0,0
"1029",90529,"7821258610","0138-0782-7822-200-212170","ocd",2013-01-10,NA,2013-01-17,2013-02-14,"",37.99,19,35,2013 Q1,0,0,1,0,1,0,0,0
"1030",90530,"6701369027","0001-0670-6701-200-212172","cpc",2013-01-30,NA,2013-02-06,2013-02-14,"",465.84,6,15,2013 Q1,1,0,0,1,0,0,0,0
"1031",90531,"4001368628","0001-0400-4001-200-212172","finance",2012-12-29,NA,2013-01-13,2013-02-14,"",516.12,23,47,2013 Q1,0,0,1,0,1,0,0,0
"1032",90532,"2010368825","0001-0200-2010-200-212172","council",2013-01-30,NA,2013-02-07,2013-02-14,"",5757.08,5,15,2013 Q1,1,0,0,1,0,0,0,0
"1033",90533,"6501268503","0001-0650-6501-200-222170","vcc",2012-12-30,NA,2013-01-17,2013-02-14,"",72.59,19,46,2013 Q1,0,0,1,0,1,0,0,0
"1034",90534,"4511369069","0001-0450-4511-200-212172","property mgmt",2013-01-30,NA,2013-02-07,2013-02-14,"",2655.08,5,15,2013 Q1,1,0,0,1,0,0,0,0
"1035",90549,"2297368580","0001-0220-2297-200-213220","emd",2012-05-07,NA,2013-01-30,2013-02-14,"NAPA",3395.66,11,283,2013 Q1,0,1,0,0,0,0,0,1
"1036",90550,"2297368580","0001-0220-2297-200-213220","emd",2012-11-06,NA,2013-01-30,2013-02-14,"NAPA",2065.12,11,100,2013 Q1,0,1,0,0,0,0,1,0
"1037",90551,"2297368581","0001-0220-2297-200-213220","emd",2012-10-01,NA,2013-01-25,2013-02-14,"NAPA",19722.99,14,136,2013 Q1,0,1,0,0,0,0,0,1
"1038",90552,"2297368585","0001-0220-2297-200-213220","emd",2012-09-14,NA,2013-01-29,2013-02-14,"NAPA",19849.45,12,153,2013 Q1,0,1,0,0,0,0,0,1
"1039",90553,"2297368640","0001-0220-2297-200-213220","emd",2013-01-30,NA,2013-01-30,2013-02-14,"",9106.03,11,15,2013 Q1,0,1,0,1,0,0,0,0
"1040",90554,"2232259071","0001-0220-2232-200-212170","iti",2012-09-24,NA,2013-01-16,2013-02-14,"Oce",22238.15,20,143,2013 Q1,0,0,1,0,0,0,0,1
"1041",90555,"6301268001","0691-0630-6301-200-212185","library",2012-12-17,NA,2013-01-22,2013-02-14,"",444,17,59,2013 Q1,0,0,1,0,1,0,0,0
"1042",90556,"6301268225","0691-0630-6301-200-212185","library",2012-12-21,NA,2013-01-17,2013-02-14,"",112,19,55,2013 Q1,0,0,1,0,1,0,0,0
"1043",90557,"4801268450","0001-0230-2310-200-212158","civil service",2012-10-26,NA,2013-01-17,2013-02-14,"Associated Reporters, Inc.",251.35,19,111,2013 Q1,0,0,1,0,0,0,1,0
"1044",90558,"8972152388","0235-0897-8972-200-212150","rivergate development corp.",2013-01-04,NA,2013-01-22,2013-02-14,"",352.75,17,41,2013 Q1,0,0,1,0,1,0,0,0
"1045",90559,"2297368571","0001-0220-2297-200-213220","emd",2012-10-04,NA,2013-01-23,2013-02-14,"Fire Apparatus Specialist, Inc.",16886.91,16,133,2013 Q1,0,0,1,0,0,0,0,1
"1046",90560,"8910368293","0200-0900-8910-200-212140","aviation",2013-01-16,NA,2013-01-22,2013-02-14,"",972.88,17,29,2013 Q1,0,0,1,1,0,0,0,0
"1047",90561,"8910368328","0200-0900-8910-200-212190","aviation",2012-12-07,NA,2013-01-16,2013-02-14,"Executone Systems Co of LA Inc",150,20,69,2013 Q1,0,0,1,0,0,1,0,0
"1048",90562,"8910261850","0200-0900-8910-200-212240","aviation",2013-01-16,NA,2013-01-23,2013-02-14,"",460.41,16,29,2013 Q1,0,0,1,1,0,0,0,0
"1049",90563,"2297368572","0001-0220-2297-200-212150","emd",2012-10-11,NA,2013-01-23,2013-02-14,"Rudy Smith Service, Inc",4121.5,16,126,2013 Q1,0,0,1,0,0,0,0,1
"1050",90564,"2020267335","0001-0200-2020-200-213110","council",2012-12-20,NA,2013-01-15,2013-02-14,"",184.91,21,56,2013 Q1,0,0,1,0,1,0,0,0
"1051",90565,"2310268511","0001-0230-2310-200-212158","law",2013-01-08,NA,2013-01-17,2013-02-14,"",529,19,37,2013 Q1,0,0,1,0,1,0,0,0
"1052",90566,"8910368323","0200-0900-8910-200-213020","aviation",2013-01-18,NA,2013-01-29,2013-02-14,"",1780.21,12,27,2013 Q1,0,1,0,1,0,0,0,0
"1053",90567,"2101368414","0001-0210-2101-200-212150","mayor's office - core",2012-11-02,NA,2013-02-11,2013-02-14,"US Conference of Mayors",600,3,104,2013 Q1,1,0,0,0,0,0,1,0
"1054",90568,"6301368287","0691-0630-6301-200-213010","library",2012-12-05,NA,2013-01-17,2013-02-14,"MIDWEST TAPE LLC",9055.2,19,71,2013 Q1,0,0,1,0,0,1,0,0
"1055",90569,"7810368442","0001-0710-7101-200-213250","mayor's office - other",2013-01-03,NA,2013-01-17,2013-02-14,"",78.8,19,42,2013 Q1,0,0,1,0,1,0,0,0
"1056",90570,"6701368962","0001-0670-6701-200-212600","oig",2013-01-10,NA,2013-02-05,2013-02-14,"",150,7,35,2013 Q1,1,0,0,0,1,0,0,0
"1057",90571,"6301368296","0691-0630-6301-200-213180","library",2012-12-21,NA,2013-01-17,2013-02-14,"",887,19,55,2013 Q1,0,0,1,0,1,0,0,0
"1058",90572,"8910267654","0200-0900-8910-200-213050","aviation",2013-01-14,NA,2013-01-25,2013-02-14,"",4680,14,31,2013 Q1,0,1,0,0,1,0,0,0
"1059",90573,"2297265945","0001-0220-2297-200-212180","emd",2012-12-06,NA,2013-01-11,2013-02-14,"AERIAL HYDRAULIC'S, INC.",272.74,23,70,2013 Q1,0,0,1,0,0,1,0,0
"1060",90574,"6850268167","0001-0685-6860-200-213130","mtcb",2012-12-28,NA,2013-01-17,2013-02-14,"",5006.7,19,48,2013 Q1,0,0,1,0,1,0,0,0
"1061",90575,"6301368388","0691-0630-6301-200-213010","library",2012-12-06,NA,2013-01-17,2013-02-14,"Ingram Library Services Inc",987.08,19,70,2013 Q1,0,0,1,0,0,1,0,0
"1062",90576,"3810266935","0001-0380-3810-200-213110","youth study center",2012-12-04,NA,2013-01-22,2013-02-14,"George W. Groetsch, Inc.",311.85,17,72,2013 Q1,0,0,1,0,0,1,0,0
"1063",90577,"2020312565","0001-0200-2020-200-212040","council",2013-02-04,NA,2013-02-06,2013-02-14,"",540,6,10,2013 Q1,1,0,0,1,0,0,0,0
"1064",90578,"8910268128","0001-0200-2010-200-212150","cao",2010-05-31,NA,2013-01-17,2013-02-14,"Alere Taxicology Services, Inc.",135,19,990,2013 Q1,0,0,1,0,0,0,0,1
"1065",90579,"2020268276","0001-0200-2020-200-213250","council",2012-12-27,NA,2013-01-15,2013-02-14,"",533.31,21,49,2013 Q1,0,0,1,0,1,0,0,0
"1066",90580,"8910262423","0200-0900-8910-200-212170","aviation",2012-12-15,NA,2013-01-29,2013-02-14,"Kyocera Mita America, Inc.",135.34,12,61,2013 Q1,0,1,0,0,0,1,0,0
"1067",90581,"8910266906","0200-0900-8910-200-212185","aviation",2012-12-17,NA,2013-01-23,2013-02-14,"",280,16,59,2013 Q1,0,0,1,0,1,0,0,0
"1068",90582,"2297259605","0001-0220-2297-200-212180","emd",2012-11-15,NA,2013-01-14,2013-02-14,"SpeeDee Oil Change",3719.74,22,91,2013 Q1,0,0,1,0,0,0,1,0
"1069",90583,"6301368423","0001-0300-3025-200-212022","library",2013-01-10,NA,2013-02-08,2013-02-14,"",10879.12,4,35,2013 Q1,1,0,0,0,1,0,0,0
"1070",90584,"2297265938","0001-0220-2297-200-213220","emd",2012-10-31,NA,2013-01-18,2013-02-14,"Empire Truck Sales, LLC",178.6,18,106,2013 Q1,0,0,1,0,0,0,1,0
"1071",90585,"8910266778","0200-0900-8910-200-213190","aviation",2012-11-27,NA,2013-01-30,2013-02-14,"Bound Tree Medical, LLC",2084.12,11,79,2013 Q1,0,1,0,0,0,1,0,0
"1072",90586,"4031268577","0001-0400-4031-200-213110","revenue",2013-01-04,NA,2013-01-18,2013-02-14,"",82.38,18,41,2013 Q1,0,0,1,0,1,0,0,0
"1073",90587,"2231261411","0001-0220-2231-200-212600","iti",2012-11-26,NA,2013-01-18,2013-02-14,"Global Data Systems",2520,18,80,2013 Q1,0,0,1,0,0,1,0,0
"1074",90588,"6850267701","0237-0685-6850-200-213110","mtcb",2012-11-20,NA,2013-01-17,2013-02-14,"Kelley & Abide Co. Inc",999,19,86,2013 Q1,0,0,1,0,0,1,0,0
"1075",90589,"6850269249","0237-0685-6850-200-212157","mtcb",2012-10-31,NA,2013-02-03,2013-02-14,"Pailet, Meunier & LeBlanc, L.L.P.",14750,9,106,2013 Q1,0,1,0,0,0,0,1,0
"1076",90590,"4051927411","0200-0900-8910-200-214352","aviation",2012-12-04,NA,2013-01-23,2013-02-14,"Grainger, Inc.",786.42,16,72,2013 Q1,0,0,1,0,0,1,0,0
"1077",90591,"2297259626","0001-0220-2297-200-212180","emd",2013-01-04,NA,2013-01-14,2013-02-14,"",3680.29,22,41,2013 Q1,0,0,1,0,1,0,0,0
"1078",90592,"8910268120","0200-0900-8910-200-214368","aviation",2013-01-23,NA,2013-01-29,2013-02-14,"",858,12,22,2013 Q1,0,1,0,1,0,0,0,0
"1079",90593,"2231268234","0001-0210-2130-200-214378","aviation",2012-12-05,NA,2013-01-16,2013-02-14,"Hewlett-Packard",1288,20,71,2013 Q1,0,0,1,0,0,1,0,0
"1080",90594,"2298368976","0001-0220-2298-200-213210","emd",2013-01-09,NA,2013-02-06,2013-02-14,"",32631.73,6,36,2013 Q1,1,0,0,0,1,0,0,0
"1081",90595,"6301368288","0001-0200-2010-200-212150","library",2012-12-13,NA,2013-01-17,2013-02-14,"Occupational Health Centers of Louisiana",45,19,63,2013 Q1,0,0,1,0,0,1,0,0
"1082",90596,"8910257851","0200-0900-8910-200-212170","aviation",2013-01-01,NA,2013-01-30,2013-02-14,"",738.99,11,44,2013 Q1,0,1,0,0,1,0,0,0
"1083",90597,"2297368573","0001-0220-2297-200-213220","emd",2012-11-13,NA,2013-01-23,2013-02-14,"Siddons Martin Emergency Group LLC",1345.71,16,93,2013 Q1,0,0,1,0,0,0,1,0
"1084",90598,"2014368531","0001-0200-2014-200-212600","council",2013-01-07,NA,2013-01-17,2013-02-14,"",28.25,19,38,2013 Q1,0,0,1,0,1,0,0,0
"1085",90599,"4001369043","0001-0400-4001-200-212170","finance",2013-01-29,NA,2013-02-07,2013-02-14,"",96,5,16,2013 Q1,1,0,0,1,0,0,0,0
"1086",90600,"6301368411","0691-0630-6301-200-212185","library",2013-01-02,NA,2013-01-17,2013-02-14,"",120,19,43,2013 Q1,0,0,1,0,1,0,0,0
"1087",90601,"2297266164","0001-0220-2297-200-212180","emd",2012-12-27,NA,2013-01-14,2013-02-14,"",94.2,22,49,2013 Q1,0,0,1,0,1,0,0,0
"1088",90602,"8910368329","0200-0900-8910-200-212110","aviation",2012-08-01,NA,2013-01-16,2013-02-14,"Fulton,Johnson,Newman",12654.48,20,197,2013 Q1,0,0,1,0,0,0,0,1
"1089",90603,"6231212495","0001-0620-6201-200-213110","parks & parkways",2012-12-13,NA,2013-01-18,2013-02-14,"City of New Orleans, Department of Parks and Parkways",65,18,63,2013 Q1,0,0,1,0,0,1,0,0
"1090",90604,"8751368784","0001-0870-8751-200-212190","registrar of voters",2013-01-07,NA,2013-02-05,2013-02-14,"",147.91,7,38,2013 Q1,1,0,0,0,1,0,0,0
"1091",90605,"2297368578","0001-0220-2297-200-213220","emd",2012-10-19,NA,2013-01-23,2013-02-14,"Jerry Pate Turf & Irrigation, Inc.",4364.97,16,118,2013 Q1,0,0,1,0,0,0,1,0
"1092",90606,"2016268528","0001-0200-2016-200-213110","council",2012-12-12,NA,2013-01-17,2013-02-14,"Coca-Cola Enterprises, Inc.",151.92,19,64,2013 Q1,0,0,1,0,0,1,0,0
"1093",90607,"2236268301","0001-0220-2236-200-212170","cao",2012-12-31,NA,2013-01-18,2013-02-14,"",1876.68,18,45,2013 Q1,0,0,1,0,1,0,0,0
"1094",90608,"4001368622","0001-0200-2070-200-212010","finance",2013-01-15,NA,2013-01-17,2013-02-14,"",4084.74,19,30,2013 Q1,0,0,1,1,0,0,0,0
"1095",90609,"2746369067","0001-0270-2740-200-212150","police",2013-01-31,NA,2013-02-08,2013-02-14,"",5837.27,4,14,2013 Q1,1,0,0,1,0,0,0,0
"1096",90610,"2521368537","0001-0250-2521-200-213220","nofd",2013-01-08,NA,2013-01-18,2013-02-14,"",300,18,37,2013 Q1,0,0,1,0,1,0,0,0
"1097",90611,"6302368283","0001-0200-2010-200-213110","library",2012-11-30,NA,2013-01-17,2013-02-14,"Kentwood Springs a Brand of DS Waters of America Inc.",72.35,19,76,2013 Q1,0,0,1,0,0,1,0,0
"1098",90612,"2273265521","0001-0220-2273-200-212600","cao",2013-02-07,NA,2013-02-07,2013-02-14,"",1050,5,7,2013 Q1,1,0,0,1,0,0,0,0
"1099",90613,"2297265412","0001-0220-2297-200-213110","emd",2012-12-20,NA,2013-01-14,2013-02-14,"",231.74,22,56,2013 Q1,0,0,1,0,1,0,0,0
"1100",90614,"2010268479","0001-0200-2010-200-212150","council",2012-12-19,NA,2013-01-17,2013-02-14,"",270.02,19,57,2013 Q1,0,0,1,0,1,0,0,0
"1101",90615,"8910368331","0200-0900-8910-200-212185","aviation",2013-01-08,NA,2013-01-29,2013-02-14,"",651,12,37,2013 Q1,0,1,0,0,1,0,0,0
"1102",90616,"6301368306","0691-0630-6301-200-213170","library",2013-01-11,NA,2013-01-17,2013-02-14,"",462.91,19,34,2013 Q1,0,0,1,0,1,0,0,0
"1103",90617,"8910368330","0200-0900-8910-200-212010","aviation",2012-12-06,NA,2013-01-16,2013-02-14,"American Association of Airport Executives",95,20,70,2013 Q1,0,0,1,0,0,1,0,0
"1104",90618,"2014268147","0001-0200-2014-200-214378","council",2012-12-31,NA,2013-02-07,2013-02-14,"",10755.75,5,45,2013 Q1,1,0,0,0,1,0,0,0
"1105",90619,"2020266860","0001-0200-2020-200-212150","council",2012-11-27,NA,2013-02-07,2013-02-14,"Associated Office Systems",125,5,79,2013 Q1,1,0,0,0,0,1,0,0
"1106",90620,"6301368559","0691-0630-6301-200-213010","library",2012-12-06,NA,2013-01-22,2013-02-14,"Baker & Taylor, Inc.",1840.84,17,70,2013 Q1,0,0,1,0,0,1,0,0
"1107",90621,"8910267765","0200-0900-8910-200-213040","aviation",2013-01-14,NA,2013-01-30,2013-02-14,"",1728.05,11,31,2013 Q1,0,1,0,0,1,0,0,0
"1108",90622,"2226368475","0001-0220-2226-200-212600","cao",2012-12-28,NA,2013-01-22,2013-02-14,"",36671.22,17,48,2013 Q1,0,0,1,0,1,0,0,0
"1109",90623,"8910261863","0200-0900-8910-200-212240","aviation",2012-01-16,NA,2013-01-23,2013-02-14,"Atmos Energy",1900.97,16,395,2013 Q1,0,0,1,0,0,0,0,1
"1110",90624,"8910266956","0200-0900-8910-200-213020","aviation",2013-01-23,NA,2013-01-29,2013-02-14,"",19.46,12,22,2013 Q1,0,1,0,1,0,0,0,0
"1111",90625,"7240368500","0001-0700-7240-200-212140","mayor's office - core",2013-01-04,NA,2013-01-17,2013-02-14,"",4320.05,19,41,2013 Q1,0,0,1,0,1,0,0,0
"1112",90626,"2232258714","0001-0220-2232-200-212170","iti",2012-10-25,NA,2013-01-18,2013-02-14,"KYOCERA",1624.26,18,112,2013 Q1,0,0,1,0,0,0,1,0
"1113",90627,"8910259720","0200-0900-8910-200-212600","aviation",2012-12-31,NA,2013-01-25,2013-02-14,"",86,14,45,2013 Q1,0,1,0,0,1,0,0,0
"1114",90628,"8910267389","0200-0900-8910-200-214390","aviation",2013-01-09,NA,2013-01-30,2013-02-14,"",995.51,11,36,2013 Q1,0,1,0,0,1,0,0,0
"1115",90629,"2310268202","0001-0230-2310-200-212150","law",2013-01-17,NA,2013-01-18,2013-02-14,"",2954.7,18,28,2013 Q1,0,0,1,1,0,0,0,0
"1116",90630,"6301368300","0691-0630-6301-200-213040","library",2013-01-10,NA,2013-01-22,2013-02-14,"",44.3,17,35,2013 Q1,0,0,1,0,1,0,0,0
"1117",90631,"8910368325","0200-0900-8910-200-212185","aviation",2012-12-31,NA,2013-01-22,2013-02-14,"",96,17,45,2013 Q1,0,0,1,0,1,0,0,0
"1118",90632,"2232263473","0001-0220-2236-200-212170","cao",2012-12-23,NA,2013-01-18,2013-02-14,"",1154.31,18,53,2013 Q1,0,0,1,0,1,0,0,0
"1119",90633,"2297266624","0001-0220-2297-200-212170","emd",2012-12-18,NA,2013-01-11,2013-02-14,"",105.45,23,58,2013 Q1,0,0,1,0,1,0,0,0
"1120",90634,"2010368473","0001-0200-2010-200-212150","council",2013-01-10,NA,2013-01-17,2013-02-14,"",123.6,19,35,2013 Q1,0,0,1,0,1,0,0,0
"1121",90635,"8910267136","0200-0900-8910-200-214352","aviation",2012-12-17,NA,2013-01-25,2013-02-14,"",6252,14,59,2013 Q1,0,1,0,0,1,0,0,0
"1122",90636,"8910369138","0200-0900-8910-200-212158","aviation",2013-01-02,NA,2013-02-08,2013-02-14,"",25166.84,4,43,2013 Q1,1,0,0,0,1,0,0,0
"1123",90637,"7017368965","0001-0700-7017-200-212110","risk mgmt",2013-01-04,NA,2013-02-07,2013-02-14,"",1527750,5,41,2013 Q1,1,0,0,0,1,0,0,0
"1124",90638,"6243266817","0001-0620-6243-200-213270","parks & parkways",2012-12-12,NA,2013-01-18,2013-02-14,"Faux Pas Prints",276.5,18,64,2013 Q1,0,0,1,0,0,1,0,0
"1125",90639,"8910368324","0200-0900-8910-200-212050","aviation",2013-01-08,NA,2013-01-18,2013-02-14,"",258,18,37,2013 Q1,0,0,1,0,1,0,0,0
"1126",90640,"4511368991","0001-0450-4511-200-212159","property mgmt",2013-01-02,NA,2013-02-06,2013-02-14,"",450,6,43,2013 Q1,1,0,0,0,1,0,0,0
"1127",90641,"2010268491","0001-0200-2010-200-212600","council",2012-12-31,NA,2013-01-17,2013-02-14,"",411.23,19,45,2013 Q1,0,0,1,0,1,0,0,0
"1128",90642,"4031267960","0001-0400-4031-200-213250","revenue",2012-12-18,NA,2013-01-14,2013-02-14,"",975,22,58,2013 Q1,0,0,1,0,1,0,0,0
"1129",90643,"8910368427","0200-0900-8910-200-212185","aviation",2012-12-05,NA,2013-01-16,2013-02-14,"ThyssenKrupp Airport Systems",3752.79,20,71,2013 Q1,0,0,1,0,0,1,0,0
"1130",90644,"5001261842","0001-0500-5005-200-212185","public works",2013-01-15,NA,2013-01-18,2013-02-14,"",2440.85,18,30,2013 Q1,0,0,1,1,0,0,0,0
"1131",90645,"6301368284","0691-0630-6301-200-212170","library",2012-12-29,NA,2013-01-17,2013-02-14,"",2931.05,19,47,2013 Q1,0,0,1,0,1,0,0,0
"1132",90646,"4051368462","0001-0400-4051-200-212150","purchasing",2013-02-05,NA,2013-02-08,2013-02-14,"",240,4,9,2013 Q1,1,0,0,1,0,0,0,0
"1133",90647,"4511369286","0001-0450-4511-200-212160","property mgmt",2012-12-01,NA,2013-02-06,2013-02-14,"University of New Orleans Research & Technology Foundation",537.92,6,75,2013 Q1,1,0,0,0,0,1,0,0
"1134",90648,"2297368443","0001-0220-2297-200-213220","emd",2013-01-15,NA,2013-01-16,2013-02-14,"",10565.31,20,30,2013 Q1,0,0,1,1,0,0,0,0
"1135",90649,"8751368766","0001-0870-8751-200-212150","registrar of voters",2013-01-10,NA,2013-02-05,2013-02-14,"",284.47,7,35,2013 Q1,1,0,0,0,1,0,0,0
"1136",90650,"8910368498","0691-0630-6301-200-212130","aviation",2012-11-01,NA,2013-01-17,2013-02-14,"Fedex Kinko's",629.05,19,105,2013 Q1,0,0,1,0,0,0,1,0
"1137",90651,"2136368389","0001-0210-2136-200-212160","mayor's office - other",2013-01-01,NA,2013-01-16,2013-02-14,"",180,20,44,2013 Q1,0,0,1,0,1,0,0,0
"1138",90652,"8910368334","0691-0630-6301-200-212190","aviation",2012-10-19,NA,2013-01-16,2013-02-14,"AT&T",18754.42,20,118,2013 Q1,0,0,1,0,0,0,1,0
"1139",90653,"4511369066","0001-0450-4511-200-212160","property mgmt",2013-01-01,NA,2013-02-07,2013-02-14,"",57128.67,5,44,2013 Q1,1,0,0,0,1,0,0,0
"1140",90655,"8910368212","0200-0900-8910-200-212150","aviation",2012-12-07,NA,2013-01-16,2013-02-14,"New Orleans Fire Department",342974.99,20,69,2013 Q1,0,0,1,0,0,1,0,0
"1141",90656,"8910264827","0200-0900-8910-200-213050","aviation",2013-01-30,NA,2013-01-30,2013-02-14,"",1969.5,11,15,2013 Q1,0,1,0,1,0,0,0,0
"1142",90657,"4051259116","0001-0620-6231-200-214352","parks & parkways",2013-01-02,NA,2013-01-18,2013-02-14,"",728.76,18,43,2013 Q1,0,0,1,0,1,0,0,0
"1143",90658,"8910368191","0200-0900-8910-200-212600","aviation",2012-12-11,NA,2013-01-23,2013-02-14,"Christmas Depot, Inc.",100,16,65,2013 Q1,0,0,1,0,0,1,0,0
"1144",90659,"6301368523","0691-0630-6301-200-213110","library",2013-01-14,NA,2013-01-22,2013-02-14,"",25.84,17,31,2013 Q1,0,0,1,0,1,0,0,0
"1145",90660,"2050268370","0001-0200-2050-200-212170","council",2012-12-01,NA,2013-01-16,2013-02-14,"AT & T Mobility",255.88,20,75,2013 Q1,0,0,1,0,0,1,0,0
"1146",90661,"2297267320","0001-0220-2297-200-212180","emd",2012-11-09,NA,2013-01-23,2013-02-14,"IM Starters & Alternators",1995,16,97,2013 Q1,0,0,1,0,0,0,1,0
"1147",90662,"8910368327","0200-0900-8910-200-212190","aviation",2012-12-11,NA,2013-01-16,2013-02-14,"AT&T",369.45,20,65,2013 Q1,0,0,1,0,0,1,0,0
"1148",90663,"6243258124","0001-0620-6243-200-212903","parks & parkways",2012-12-31,NA,2013-01-18,2013-02-14,"",5667.33,18,45,2013 Q1,0,0,1,0,1,0,0,0
"1149",90664,"7826158617","0138-0782-7826-200-212150","ocd",2012-03-29,NA,2013-01-17,2013-02-14,"ADR Inc.",225,19,322,2013 Q1,0,0,1,0,0,0,0,1
"1150",90665,"4081312568","0001-0400-4081-200-212140","retirement",2013-01-25,NA,2013-02-05,2013-02-14,"",102.78,7,20,2013 Q1,1,0,0,1,0,0,0,0
"1151",90666,"8910368413","0200-0900-8910-200-212010","aviation",2012-12-31,NA,2013-01-16,2013-02-14,"",1990.66,20,45,2013 Q1,0,0,1,0,1,0,0,0
"1152",90667,"6301312504","0691-0630-6301-200-212040","library",2012-06-15,NA,2013-01-22,2013-02-14,"Seale Paterson",4,17,244,2013 Q1,0,0,1,0,0,0,0,1
"1153",90668,"8910368289","0200-0900-8910-200-212159","aviation",2012-12-17,NA,2013-01-16,2013-02-14,"",963,20,59,2013 Q1,0,0,1,0,1,0,0,0
"1154",90669,"8910257730","0200-0900-8910-200-212185","aviation",2012-12-26,NA,2013-01-25,2013-02-14,"",5100,14,50,2013 Q1,0,1,0,0,1,0,0,0
"1155",90670,"8910368333","0200-0900-8910-200-212190","aviation",2012-12-01,NA,2013-01-16,2013-02-14,"SatCom Global",210,20,75,2013 Q1,0,0,1,0,0,1,0,0
"1156",90671,"7240266631","0001-0700-7240-200-213250","mayor's office - core",2012-12-28,NA,2013-02-11,2013-02-14,"",39,3,48,2013 Q1,1,0,0,0,1,0,0,0
"1157",90672,"6301368558","0691-0630-6301-200-212185","library",2013-01-08,NA,2013-01-22,2013-02-14,"",55.51,17,37,2013 Q1,0,0,1,0,1,0,0,0
"1158",90673,"2136267854","0377-0210-2136-200-212600","mayor's office - other",2012-12-14,NA,2013-01-18,2013-02-14,"ZULU SOCIAL AID AND PLEASURE CLUB, INC.",10000,18,62,2013 Q1,0,0,1,0,0,1,0,0
"1159",90674,"6301368540","0691-0630-6301-200-213270","library",2012-12-31,NA,2013-01-22,2013-02-14,"",124.46,17,45,2013 Q1,0,0,1,0,1,0,0,0
"1160",90675,"6301268018","0300-0630-6301-200-213010","library",2012-12-31,NA,2013-01-22,2013-02-14,"",3037.44,17,45,2013 Q1,0,0,1,0,1,0,0,0
"1161",90676,"2215368779","0001-0220-2215-200-212600","cao",2012-11-12,NA,2013-02-06,2013-02-14,"ICMA",5550,6,94,2013 Q1,1,0,0,0,0,0,1,0
"1162",90677,"2521368541","0001-0250-2521-200-212185","nofd",2012-09-13,NA,2013-01-18,2013-02-14,"ComTech Communications",15000,18,154,2013 Q1,0,0,1,0,0,0,0,1
"1163",90678,"2340268433","0001-0230-2340-200-212110","law",2013-01-04,NA,2013-01-16,2013-02-14,"",6666.66,20,41,2013 Q1,0,0,1,0,1,0,0,0
"1164",90679,"3810259132","0001-0380-3810-200-212157","youth study center",2012-12-26,NA,2013-02-07,2013-02-14,"",12725.83,5,50,2013 Q1,1,0,0,0,1,0,0,0
"1165",90680,"6501268505","0001-0650-6501-200-212150","vcc",2012-12-14,NA,2013-01-17,2013-02-14,"Concentra Medical Centers",15,19,62,2013 Q1,0,0,1,0,0,1,0,0
"1166",90681,"6301268003","0691-0630-6301-200-212185","library",2012-11-13,NA,2013-01-17,2013-02-14,"Accurate Elevator,LLC",550,19,93,2013 Q1,0,0,1,0,0,0,1,0
"1167",90682,"2215268314","0001-0220-2282-200-212151","cao",2012-09-30,NA,2013-02-06,2013-02-14,"MED-X MEDICAL WASTE DISPOSAL EXPERTS",1860,6,137,2013 Q1,1,0,0,0,0,0,0,1
"1168",90683,"6301368562","0691-0630-6301-200-212150","library",2012-12-27,NA,2013-01-22,2013-02-14,"",318,17,49,2013 Q1,0,0,1,0,1,0,0,0
"1169",90684,"7001267076","0001-0700-7001-200-212185","nordc",2012-12-31,NA,2013-02-08,2013-02-14,"",1766.14,4,45,2013 Q1,1,0,0,0,1,0,0,0
"1170",90685,"2020312566","0001-0200-2020-200-212040","council",2013-01-25,NA,2013-02-06,2013-02-14,"",290,6,20,2013 Q1,1,0,0,1,0,0,0,0
"1171",90686,"2020312564","0001-0200-2020-200-212040","council",2013-01-31,NA,2013-02-06,2013-02-14,"",1035.08,6,14,2013 Q1,1,0,0,1,0,0,0,0
"1172",90687,"2136212488","0375-0210-2136-200-212150","mayor's office - other",2012-12-20,NA,2013-01-17,2013-02-14,"",86.95,19,56,2013 Q1,0,0,1,0,1,0,0,0
